Commodity,country,Total_Value,rank
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",U S A,557.73,1
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",FRANCE,238.54,2
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",U K,229.56,3
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SINGAPORE,226.51,4
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",GERMANY,109.07,5
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",MALAYSIA,40.63,6
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",ISRAEL,33.09,7
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SEYCHELLES,26.39,8
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SWITZERLAND,22.33,9
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",ITALY,18.07,10
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",RUSSIA,16.33,11
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",AUSTRIA,16.25,12
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",CHINA P RP,15.74,13
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SWEDEN,14.33,14
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",BELGIUM,13.15,15
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",TURKEY,13.06,16
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",IRELAND,12.94,17
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",POLAND,12.46,18
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",JAPAN,12.31,19
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",CANADA,10.65,20
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",THAILAND,8.91,21
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",U ARAB EMTS,8.19,22
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SOUTH AFRICA,7.96,23
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",NETHERLAND,6.83,24
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",PHILIPPINES,6.1,25
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",MEXICO,6.0,26
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",AUSTRALIA,3.86,27
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",VIETNAM SOC REP,3.17,28
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",HONG KONG,2.97,29
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SPAIN,2.41,30
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",DENMARK,2.22,31
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",GEORGIA,2.09,32
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",JORDAN,1.87,33
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",PUERTO RICO,1.52,34
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",OMAN,1.38,35
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",BANGLADESH PR,1.32,36
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",KOREA RP,1.1,37
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",MYANMAR,0.94,38
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",QATAR,0.84,39
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",TAIWAN,0.82,40
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SAUDI ARAB,0.72,41
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",NAMIBIA,0.63,42
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",MAURITIUS,0.58,43
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",AFGHANISTAN TIS,0.56,44
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",BRAZIL,0.4,45
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",CZECH REPUBLIC,0.29,46
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",INDONESIA,0.27,47
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",MALDIVES,0.25,48
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",LITHUANIA,0.25,48
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",BAHARAIN IS,0.22,49
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",TIMOR LESTE,0.21,50
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",MALAWI,0.2,51
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",HUNGARY,0.19,52
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",KUWAIT,0.16,53
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SWAZILAND,0.16,53
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",NEPAL,0.16,53
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",SRI LANKA DSR,0.15,54
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",MOROCCO,0.14,55
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",COSTA RICA,0.14,55
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",ALGERIA,0.14,55
