Commodity,country,Total_Value,rank
ALUMINIUM AND ARTICLES THEREOF.,MALAYSIA,909.65,1
ALUMINIUM AND ARTICLES THEREOF.,U S A,782.6,2
ALUMINIUM AND ARTICLES THEREOF.,KOREA RP,528.77,3
ALUMINIUM AND ARTICLES THEREOF.,TURKEY,468.4,4
ALUMINIUM AND ARTICLES THEREOF.,MEXICO,308.05,5
ALUMINIUM AND ARTICLES THEREOF.,ITALY,252.72,6
ALUMINIUM AND ARTICLES THEREOF.,SPAIN,202.56,7
ALUMINIUM AND ARTICLES THEREOF.,TAIWAN,202.43,8
ALUMINIUM AND ARTICLES THEREOF.,JAPAN,177.5,9
ALUMINIUM AND ARTICLES THEREOF.,BANGLADESH PR,175.69,10
ALUMINIUM AND ARTICLES THEREOF.,SINGAPORE,151.41,11
ALUMINIUM AND ARTICLES THEREOF.,NETHERLAND,148.81,12
ALUMINIUM AND ARTICLES THEREOF.,THAILAND,120.64,13
ALUMINIUM AND ARTICLES THEREOF.,BRAZIL,109.96,14
ALUMINIUM AND ARTICLES THEREOF.,U K,95.11,15
ALUMINIUM AND ARTICLES THEREOF.,U ARAB EMTS,76.12,16
ALUMINIUM AND ARTICLES THEREOF.,NEPAL,57.79,17
ALUMINIUM AND ARTICLES THEREOF.,GERMANY,56.21,18
ALUMINIUM AND ARTICLES THEREOF.,GREECE,54.83,19
ALUMINIUM AND ARTICLES THEREOF.,BULGARIA,52.41,20
ALUMINIUM AND ARTICLES THEREOF.,COLOMBIA,45.98,21
ALUMINIUM AND ARTICLES THEREOF.,ISRAEL,38.73,22
ALUMINIUM AND ARTICLES THEREOF.,AFGHANISTAN TIS,38.36,23
ALUMINIUM AND ARTICLES THEREOF.,BAHARAIN IS,34.08,24
ALUMINIUM AND ARTICLES THEREOF.,SAUDI ARAB,31.04,25
ALUMINIUM AND ARTICLES THEREOF.,VIETNAM SOC REP,30.48,26
ALUMINIUM AND ARTICLES THEREOF.,EGYPT A RP,29.75,27
ALUMINIUM AND ARTICLES THEREOF.,KENYA,29.39,28
