Commodity,country,Total_Value,rank
ARTICLES OF IRON OR STEEL,U S A,1699.57,1
ARTICLES OF IRON OR STEEL,U ARAB EMTS,456.71,2
ARTICLES OF IRON OR STEEL,GERMANY,424.25,3
ARTICLES OF IRON OR STEEL,U K,320.66,4
ARTICLES OF IRON OR STEEL,CANADA,272.67,5
ARTICLES OF IRON OR STEEL,NETHERLAND,213.04,6
ARTICLES OF IRON OR STEEL,ITALY,187.08,7
ARTICLES OF IRON OR STEEL,SAUDI ARAB,163.23,8
ARTICLES OF IRON OR STEEL,FRANCE,146.74,9
ARTICLES OF IRON OR STEEL,QATAR,142.44,10
ARTICLES OF IRON OR STEEL,AUSTRALIA,138.06,11
ARTICLES OF IRON OR STEEL,BELGIUM,133.81,12
ARTICLES OF IRON OR STEEL,NEPAL,124.05,13
ARTICLES OF IRON OR STEEL,CHILE,123.85,14
ARTICLES OF IRON OR STEEL,BANGLADESH PR,105.01,15
ARTICLES OF IRON OR STEEL,SPAIN,104.86,16
ARTICLES OF IRON OR STEEL,KUWAIT,103.2,17
ARTICLES OF IRON OR STEEL,NIGERIA,100.08,18
ARTICLES OF IRON OR STEEL,THAILAND,96.89,19
ARTICLES OF IRON OR STEEL,MEXICO,93.28,20
ARTICLES OF IRON OR STEEL,BRAZIL,93.0,21
ARTICLES OF IRON OR STEEL,EGYPT A RP,89.84,22
ARTICLES OF IRON OR STEEL,SRI LANKA DSR,89.05,23
ARTICLES OF IRON OR STEEL,SOUTH AFRICA,88.95,24
ARTICLES OF IRON OR STEEL,TANZANIA REP,81.08,25
ARTICLES OF IRON OR STEEL,OMAN,77.67,26
ARTICLES OF IRON OR STEEL,CHINA P RP,74.16,27
ARTICLES OF IRON OR STEEL,SINGAPORE,65.39,28
ARTICLES OF IRON OR STEEL,POLAND,64.71,29
ARTICLES OF IRON OR STEEL,CZECH REPUBLIC,63.11,30
ARTICLES OF IRON OR STEEL,AFGHANISTAN TIS,61.16,31
ARTICLES OF IRON OR STEEL,INDONESIA,59.07,32
ARTICLES OF IRON OR STEEL,JAPAN,51.74,33
ARTICLES OF IRON OR STEEL,COLOMBIA,42.71,34
ARTICLES OF IRON OR STEEL,PHILIPPINES,42.63,35
ARTICLES OF IRON OR STEEL,KOREA RP,42.14,36
ARTICLES OF IRON OR STEEL,GHANA,41.06,37
ARTICLES OF IRON OR STEEL,MAURITANIA,39.3,38
ARTICLES OF IRON OR STEEL,SWEDEN,38.94,39
ARTICLES OF IRON OR STEEL,MALAYSIA,37.58,40
ARTICLES OF IRON OR STEEL,DENMARK,37.39,41
ARTICLES OF IRON OR STEEL,KENYA,35.75,42
ARTICLES OF IRON OR STEEL,IRAQ,32.04,43
ARTICLES OF IRON OR STEEL,VIETNAM SOC REP,31.88,44
ARTICLES OF IRON OR STEEL,TURKEY,30.96,45
ARTICLES OF IRON OR STEEL,BAHARAIN IS,28.17,46
ARTICLES OF IRON OR STEEL,RUSSIA,28.04,47
ARTICLES OF IRON OR STEEL,FINLAND,26.57,48
ARTICLES OF IRON OR STEEL,JORDAN,24.37,49
ARTICLES OF IRON OR STEEL,ROMANIA,23.87,50
ARTICLES OF IRON OR STEEL,BHUTAN,21.26,51
ARTICLES OF IRON OR STEEL,AUSTRIA,21.18,52
ARTICLES OF IRON OR STEEL,SENEGAL,21.16,53
ARTICLES OF IRON OR STEEL,IRELAND,20.08,54
ARTICLES OF IRON OR STEEL,NORWAY,17.02,55
ARTICLES OF IRON OR STEEL,SIERRA LEONE,15.97,56
ARTICLES OF IRON OR STEEL,ISRAEL,15.73,57
ARTICLES OF IRON OR STEEL,MYANMAR,15.62,58
ARTICLES OF IRON OR STEEL,BURKINA FASO,14.5,59
ARTICLES OF IRON OR STEEL,GREECE,13.9,60
ARTICLES OF IRON OR STEEL,HUNGARY,13.68,61
ARTICLES OF IRON OR STEEL,ETHIOPIA,13.51,62
ARTICLES OF IRON OR STEEL,URUGUAY,13.16,63
ARTICLES OF IRON OR STEEL,UGANDA,12.76,64
ARTICLES OF IRON OR STEEL,MAURITIUS,11.83,65
ARTICLES OF IRON OR STEEL,SUDAN,11.77,66
ARTICLES OF IRON OR STEEL,SWITZERLAND,11.73,67
ARTICLES OF IRON OR STEEL,CONGO D. REP.,11.3,68
ARTICLES OF IRON OR STEEL,DOMINIC REP,11.02,69
ARTICLES OF IRON OR STEEL,MOROCCO,10.98,70
ARTICLES OF IRON OR STEEL,MALAWI,10.61,71
ARTICLES OF IRON OR STEEL,ARGENTINA,9.88,72
ARTICLES OF IRON OR STEEL,NEW ZEALAND,9.84,73
ARTICLES OF IRON OR STEEL,PUERTO RICO,9.65,74
ARTICLES OF IRON OR STEEL,GAMBIA,8.98,75
ARTICLES OF IRON OR STEEL,ALGERIA,8.54,76
ARTICLES OF IRON OR STEEL,BOTSWANA,8.19,77
ARTICLES OF IRON OR STEEL,MALI,8.04,78
ARTICLES OF IRON OR STEEL,PORTUGAL,7.91,79
ARTICLES OF IRON OR STEEL,SLOVENIA,7.52,80
ARTICLES OF IRON OR STEEL,ZAMBIA,7.4,81
