Commodity,country,Total_Value,rank
"BEVERAGES, SPIRITS AND VINEGAR.",U ARAB EMTS,85.6,1
"BEVERAGES, SPIRITS AND VINEGAR.",SINGAPORE,32.35,2
"BEVERAGES, SPIRITS AND VINEGAR.",NETHERLAND,19.5,3
"BEVERAGES, SPIRITS AND VINEGAR.",GHANA,18.5,4
"BEVERAGES, SPIRITS AND VINEGAR.",NIGERIA,13.55,5
"BEVERAGES, SPIRITS AND VINEGAR.",MALAYSIA,12.37,6
"BEVERAGES, SPIRITS AND VINEGAR.",NEPAL,11.66,7
"BEVERAGES, SPIRITS AND VINEGAR.",ANGOLA,10.06,8
"BEVERAGES, SPIRITS AND VINEGAR.",OMAN,8.15,9
"BEVERAGES, SPIRITS AND VINEGAR.",U S A,8.11,10
"BEVERAGES, SPIRITS AND VINEGAR.",VIETNAM SOC REP,7.48,11
"BEVERAGES, SPIRITS AND VINEGAR.",CAMEROON,7.3,12
"BEVERAGES, SPIRITS AND VINEGAR.",TOGO,5.79,13
"BEVERAGES, SPIRITS AND VINEGAR.",CONGO D. REP.,4.6,14
"BEVERAGES, SPIRITS AND VINEGAR.",BAHARAIN IS,4.42,15
"BEVERAGES, SPIRITS AND VINEGAR.",RWANDA,3.69,16
"BEVERAGES, SPIRITS AND VINEGAR.",KENYA,3.67,17
"BEVERAGES, SPIRITS AND VINEGAR.",LEBANON,3.47,18
"BEVERAGES, SPIRITS AND VINEGAR.",COTE D' IVOIRE,3.39,19
"BEVERAGES, SPIRITS AND VINEGAR.",SRI LANKA DSR,3.39,19
"BEVERAGES, SPIRITS AND VINEGAR.",QATAR,3.33,20
"BEVERAGES, SPIRITS AND VINEGAR.",HAITI,3.14,21
"BEVERAGES, SPIRITS AND VINEGAR.",SIERRA LEONE,3.05,22
"BEVERAGES, SPIRITS AND VINEGAR.",ZAMBIA,2.97,23
"BEVERAGES, SPIRITS AND VINEGAR.",LIBERIA,2.97,23
"BEVERAGES, SPIRITS AND VINEGAR.",HONG KONG,2.85,24
"BEVERAGES, SPIRITS AND VINEGAR.",CONGO P REP,2.81,25
"BEVERAGES, SPIRITS AND VINEGAR.",JORDAN,2.8,26
"BEVERAGES, SPIRITS AND VINEGAR.",BENIN,2.6,27
"BEVERAGES, SPIRITS AND VINEGAR.",TANZANIA REP,2.59,28
"BEVERAGES, SPIRITS AND VINEGAR.",FRANCE,2.29,29
"BEVERAGES, SPIRITS AND VINEGAR.",BHUTAN,2.17,30
"BEVERAGES, SPIRITS AND VINEGAR.",AUSTRALIA,2.03,31
"BEVERAGES, SPIRITS AND VINEGAR.",IRAQ,1.73,32
"BEVERAGES, SPIRITS AND VINEGAR.",GUINEA,1.65,33
"BEVERAGES, SPIRITS AND VINEGAR.",THAILAND,1.58,34
"BEVERAGES, SPIRITS AND VINEGAR.",U K,1.27,35
"BEVERAGES, SPIRITS AND VINEGAR.",JAPAN,1.24,36
"BEVERAGES, SPIRITS AND VINEGAR.",SOUTH AFRICA,1.21,37
"BEVERAGES, SPIRITS AND VINEGAR.",MALAWI,1.17,38
"BEVERAGES, SPIRITS AND VINEGAR.",CANADA,1.12,39
"BEVERAGES, SPIRITS AND VINEGAR.",MALDIVES,0.94,40
"BEVERAGES, SPIRITS AND VINEGAR.",DOMINIC REP,0.84,41
"BEVERAGES, SPIRITS AND VINEGAR.",NEW ZEALAND,0.65,42
"BEVERAGES, SPIRITS AND VINEGAR.",BURKINA FASO,0.64,43
"BEVERAGES, SPIRITS AND VINEGAR.",CHINA P RP,0.59,44
"BEVERAGES, SPIRITS AND VINEGAR.",CHILE,0.47,45
"BEVERAGES, SPIRITS AND VINEGAR.",PHILIPPINES,0.46,46
"BEVERAGES, SPIRITS AND VINEGAR.",UGANDA,0.44,47
"BEVERAGES, SPIRITS AND VINEGAR.",SPAIN,0.42,48
"BEVERAGES, SPIRITS AND VINEGAR.",MALI,0.41,49
"BEVERAGES, SPIRITS AND VINEGAR.",MOZAMBIQUE,0.4,50
"BEVERAGES, SPIRITS AND VINEGAR.",EQUTL GUINEA,0.4,50
"BEVERAGES, SPIRITS AND VINEGAR.",ISRAEL,0.38,51
"BEVERAGES, SPIRITS AND VINEGAR.",LATVIA,0.34,52
"BEVERAGES, SPIRITS AND VINEGAR.",SEYCHELLES,0.33,53
"BEVERAGES, SPIRITS AND VINEGAR.",TURKEY,0.33,53
"BEVERAGES, SPIRITS AND VINEGAR.",SAUDI ARAB,0.31,54
"BEVERAGES, SPIRITS AND VINEGAR.",KOREA RP,0.28,55
"BEVERAGES, SPIRITS AND VINEGAR.",KUWAIT,0.27,56
"BEVERAGES, SPIRITS AND VINEGAR.",SUDAN,0.24,57
"BEVERAGES, SPIRITS AND VINEGAR.",ITALY,0.23,58
"BEVERAGES, SPIRITS AND VINEGAR.",GUINEA BISSAU,0.23,58
"BEVERAGES, SPIRITS AND VINEGAR.",BURUNDI,0.22,59
"BEVERAGES, SPIRITS AND VINEGAR.",GREECE,0.17,60
"BEVERAGES, SPIRITS AND VINEGAR.",JAMAICA,0.16,61
"BEVERAGES, SPIRITS AND VINEGAR.",NIGER,0.15,62
"BEVERAGES, SPIRITS AND VINEGAR.",ERITREA,0.13,63
"BEVERAGES, SPIRITS AND VINEGAR.",TRINIDAD,0.12,64
"BEVERAGES, SPIRITS AND VINEGAR.",UKRAINE,0.11,65
"BEVERAGES, SPIRITS AND VINEGAR.",PANAMA REPUBLIC,0.11,65
"BEVERAGES, SPIRITS AND VINEGAR.",YEMEN REPUBLC,0.09,66
