Commodity,country,Total_Value,rank
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,U S A,925.08,1
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,GERMANY,112.26,2
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,U K,97.16,3
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,U ARAB EMTS,76.57,4
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,AUSTRALIA,70.96,5
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,ITALY,40.94,6
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,FRANCE,37.33,7
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SWEDEN,31.7,8
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,NETHERLAND,30.74,9
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,CANADA,26.07,10
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SPAIN,23.23,11
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,JAPAN,20.67,12
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,BELGIUM,19.95,13
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,DENMARK,19.67,14
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,CHINA P RP,18.76,15
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,BRAZIL,15.83,16
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SOUTH AFRICA,13.16,17
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,RUSSIA,11.12,18
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,POLAND,10.8,19
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SAUDI ARAB,9.49,20
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,PORTUGAL,8.91,21
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,FINLAND,8.6,22
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,THAILAND,8.36,23
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,CHILE,8.15,24
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,NEW ZEALAND,7.82,25
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,AUSTRIA,7.49,26
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,MEXICO,7.41,27
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,MALAYSIA,6.82,28
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,TURKEY,6.77,29
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,NORWAY,6.37,30
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,GREECE,6.33,31
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,KOREA RP,5.84,32
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,ISRAEL,5.34,33
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SINGAPORE,3.65,34
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SWITZERLAND,3.57,35
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,ARGENTINA,3.54,36
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,KUWAIT,3.37,37
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,QATAR,2.41,38
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,LEBANON,2.39,39
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,CROATIA,2.27,40
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,HONG KONG,2.25,41
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,IRELAND,2.19,42
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,ROMANIA,2.14,43
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,LITHUANIA,2.09,44
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,LATVIA,1.91,45
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SLOVENIA,1.72,46
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,COLOMBIA,1.6,47
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,EGYPT A RP,1.53,48
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,PHILIPPINES,1.3,49
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,PERU,1.2,50
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,TAIWAN,1.11,51
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,BAHARAIN IS,0.95,52
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,UKRAINE,0.86,53
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,OMAN,0.84,54
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,PANAMA REPUBLIC,0.8,55
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,VIETNAM SOC REP,0.74,56
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,DOMINIC REP,0.7,57
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,CZECH REPUBLIC,0.63,58
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,MAURITIUS,0.62,59
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,MOROCCO,0.59,60
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,INDONESIA,0.59,60
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SLOVAK REP,0.57,61
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,NEPAL,0.56,62
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,URUGUAY,0.53,63
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,GHANA,0.5,64
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,BOSNIA-HRZGOVIN,0.47,65
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,SRI LANKA DSR,0.47,65
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,COSTA RICA,0.46,66
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,GUATEMALA,0.38,67
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,ESTONIA,0.37,68
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,KAZAKHSTAN,0.37,68
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,JORDAN,0.37,68
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,CYPRUS,0.37,68
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,BULGARIA,0.36,69
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,HUNGARY,0.36,69
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,LIBYA,0.35,70
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,MALDIVES,0.34,71
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,NIGERIA,0.26,72
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,KENYA,0.24,73
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,TANZANIA REP,0.22,74
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,CAMBODIA,0.21,75
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,PUERTO RICO,0.21,75
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,ANGOLA,0.2,76
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,REUNION,0.19,77
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,NIGER,0.18,78
