Commodity,country,Total_Value,rank
CEREALS.,IRAN,1584.09,1
CEREALS.,SAUDI ARAB,1044.97,2
CEREALS.,U ARAB EMTS,454.81,3
CEREALS.,NEPAL,440.72,4
CEREALS.,IRAQ,435.97,5
CEREALS.,BANGLADESH PR,301.34,6
CEREALS.,BENIN,264.96,7
CEREALS.,YEMEN REPUBLC,260.94,8
CEREALS.,SENEGAL,221.24,9
CEREALS.,U S A,207.17,10
CEREALS.,KUWAIT,203.82,11
CEREALS.,GUINEA,176.23,12
CEREALS.,COTE D' IVOIRE,164.11,13
CEREALS.,OMAN,137.32,14
CEREALS.,QATAR,132.71,15
CEREALS.,SOMALIA,130.75,16
CEREALS.,INDONESIA,122.51,17
CEREALS.,LIBERIA,116.99,18
CEREALS.,U K,116.74,19
CEREALS.,DJIBOUTI,96.27,20
CEREALS.,TOGO,93.4,21
CEREALS.,PHILIPPINES,77.39,22
CEREALS.,SOUTH AFRICA,73.65,23
CEREALS.,EGYPT A RP,66.08,24
CEREALS.,TURKEY,62.49,25
CEREALS.,CANADA,59.01,26
CEREALS.,JORDAN,56.86,27
CEREALS.,AUSTRALIA,53.96,28
CEREALS.,ISRAEL,50.07,29
CEREALS.,MADAGASCAR,49.21,30
CEREALS.,BAHARAIN IS,48.94,31
CEREALS.,SINGAPORE,48.81,32
CEREALS.,NETHERLAND,46.74,33
CEREALS.,MALAYSIA,43.65,34
CEREALS.,MAURITIUS,42.22,35
CEREALS.,ETHIOPIA,40.31,36
CEREALS.,PAKISTAN IR,33.11,37
CEREALS.,ALGERIA,32.41,38
CEREALS.,RUSSIA,31.67,39
CEREALS.,GHANA,27.77,40
CEREALS.,NIGER,27.69,41
CEREALS.,BELGIUM,25.98,42
CEREALS.,SUDAN,24.28,43
CEREALS.,KENYA,24.14,44
CEREALS.,VIETNAM SOC REP,21.16,45
CEREALS.,SYRIA,21.0,46
CEREALS.,ITALY,20.43,47
CEREALS.,GAMBIA,20.35,48
CEREALS.,SRI LANKA DSR,19.48,49
CEREALS.,BURKINA FASO,17.77,50
CEREALS.,SIERRA LEONE,17.72,51
CEREALS.,GERMANY,15.76,52
CEREALS.,AZERBAIJAN,15.21,53
CEREALS.,LEBANON,14.63,54
CEREALS.,ANGOLA,14.6,55
CEREALS.,MALDIVES,14.41,56
CEREALS.,UKRAINE,12.76,57
CEREALS.,MYANMAR,11.6,58
CEREALS.,REUNION,10.74,59
CEREALS.,LIBYA,10.6,60
CEREALS.,TANZANIA REP,8.96,61
CEREALS.,NEW ZEALAND,8.25,62
CEREALS.,GEORGIA,7.54,63
CEREALS.,FRANCE,7.23,64
CEREALS.,SEYCHELLES,6.93,65
CEREALS.,SWEDEN,5.41,66
CEREALS.,SPAIN,5.27,67
CEREALS.,MALI,5.01,68
CEREALS.,MOZAMBIQUE,5.0,69
CEREALS.,JAPAN,4.99,70
CEREALS.,MOROCCO,4.97,71
CEREALS.,SWITZERLAND,4.67,72
CEREALS.,TUNISIA,4.57,73
CEREALS.,PORTUGAL,4.48,74
CEREALS.,POLAND,4.17,75
CEREALS.,CAMEROON,4.08,76
CEREALS.,MAURITANIA,3.85,77
CEREALS.,THAILAND,3.55,78
CEREALS.,NIGERIA,3.54,79
CEREALS.,GUINEA BISSAU,2.69,80
CEREALS.,HONG KONG,2.62,81
CEREALS.,NAMIBIA,2.49,82
CEREALS.,TAIWAN,2.33,83
CEREALS.,LITHUANIA,2.08,84
CEREALS.,BHUTAN,1.99,85
CEREALS.,DENMARK,1.75,86
CEREALS.,GREECE,1.68,87
CEREALS.,NORWAY,1.65,88
CEREALS.,BRUNEI,1.63,89
CEREALS.,COMOROS,1.61,90
CEREALS.,IRELAND,1.59,91
CEREALS.,UGANDA,1.43,92
CEREALS.,CONGO P REP,1.3,93
CEREALS.,CONGO D. REP.,1.13,94
CEREALS.,CHINA P RP,1.1,95
CEREALS.,CYPRUS,1.05,96
CEREALS.,MEXICO,1.03,97
CEREALS.,EQUTL GUINEA,0.9,98
CEREALS.,BULGARIA,0.89,99
CEREALS.,AFGHANISTAN TIS,0.75,100
CEREALS.,BELARUS,0.74,101
CEREALS.,FIJI IS,0.7,102
CEREALS.,HAITI,0.66,103
CEREALS.,JAMAICA,0.64,104
CEREALS.,SLOVENIA,0.6,105
CEREALS.,HUNGARY,0.58,106
CEREALS.,C AFRI REP,0.56,107
CEREALS.,GABON,0.54,108
CEREALS.,TURKMENISTAN,0.48,109
CEREALS.,AUSTRIA,0.44,110
CEREALS.,RWANDA,0.42,111
CEREALS.,KOREA RP,0.4,112
CEREALS.,BOTSWANA,0.37,113
CEREALS.,ERITREA,0.27,114
CEREALS.,MALTA,0.26,115
CEREALS.,CHILE,0.26,115
CEREALS.,FINLAND,0.26,115
CEREALS.,TRINIDAD,0.25,116
CEREALS.,ARGENTINA,0.23,117
CEREALS.,ZAMBIA,0.23,117
CEREALS.,CROATIA,0.23,117
CEREALS.,KAZAKHSTAN,0.23,117
CEREALS.,ROMANIA,0.21,118
CEREALS.,ARMENIA,0.18,119
CEREALS.,MOLDOVA,0.17,120
CEREALS.,SAO TOME,0.17,120
CEREALS.,MALAWI,0.17,120
CEREALS.,ALBANIA,0.16,121
CEREALS.,CZECH REPUBLIC,0.15,122
CEREALS.,NETHERLANDANTIL,0.14,123
CEREALS.,CAMBODIA,0.14,123
CEREALS.,MAYOTTE,0.13,124
CEREALS.,KYRGHYZSTAN,0.13,124
CEREALS.,ESTONIA,0.11,125
CEREALS.,GUADELOUPE,0.1,126
CEREALS.,ZIMBABWE,0.1,126
CEREALS.,KOREA DP RP,0.08,127
CEREALS.,SOUTH SUDAN,0.07,128
CEREALS.,MARTINIQUE,0.07,128
CEREALS.,LATVIA,0.07,128
CEREALS.,CAYMAN IS,0.07,128
CEREALS.,MONGOLIA,0.06,129
CEREALS.,STATE OF PALEST,0.05,130
CEREALS.,MONTENEGRO,0.05,130
CEREALS.,UZBEKISTAN,0.04,131
CEREALS.,COLOMBIA,0.03,132
CEREALS.,VENEZUELA,0.03,132
CEREALS.,BOLIVIA,0.02,133
CEREALS.,COSTA RICA,0.02,133
CEREALS.,BOSNIA-HRZGOVIN,0.02,133
CEREALS.,N. MARIANA IS.,0.02,133
CEREALS.,SOLOMON IS,0.01,134
CEREALS.,SWAZILAND,0.01,134
CEREALS.,SERBIA,0.01,134
CEREALS.,DOMINIC REP,0.01,134
CEREALS.,PAPUA N GNA,0.01,134
CEREALS.,MACAO,0.01,134
CEREALS.,PANAMA REPUBLIC,0.01,134
CEREALS.,URUGUAY,0.01,134
CEREALS.,BRAZIL,0.01,134
CEREALS.,SURINAME,0.0,135
CEREALS.,BELIZE,0.0,135
CEREALS.,ST LUCIA,0.0,135
CEREALS.,ANDORRA,0.0,135
CEREALS.,GUYANA,0.0,135
CEREALS.,ANTIGUA,0.0,135
CEREALS.,PALAU,0.0,135
CEREALS.,PERU,0.0,135
CEREALS.,GRENADA,0.0,135
CEREALS.,LESOTHO,,136
CEREALS.,TAJIKISTAN,,136
CEREALS.,UNSPECIFIED,,136
CEREALS.,BURUNDI,,136
CEREALS.,GUAM,,136
CEREALS.,PARAGUAY,,136
CEREALS.,MONTSERRAT,,136
