Commodity,country,Total_Value,rank
CLOCKS AND WATCHES AND PARTS THEREOF.,SWITZERLAND,26.47,1
CLOCKS AND WATCHES AND PARTS THEREOF.,HONG KONG,24.62,2
CLOCKS AND WATCHES AND PARTS THEREOF.,U ARAB EMTS,8.9,3
CLOCKS AND WATCHES AND PARTS THEREOF.,GERMANY,5.63,4
CLOCKS AND WATCHES AND PARTS THEREOF.,U S A,5.44,5
CLOCKS AND WATCHES AND PARTS THEREOF.,PHILIPPINES,4.87,6
CLOCKS AND WATCHES AND PARTS THEREOF.,SINGAPORE,2.61,7
CLOCKS AND WATCHES AND PARTS THEREOF.,BANGLADESH PR,2.36,8
CLOCKS AND WATCHES AND PARTS THEREOF.,SRI LANKA DSR,2.27,9
CLOCKS AND WATCHES AND PARTS THEREOF.,FRANCE,1.81,10
CLOCKS AND WATCHES AND PARTS THEREOF.,IRAQ,1.33,11
CLOCKS AND WATCHES AND PARTS THEREOF.,U K,1.26,12
CLOCKS AND WATCHES AND PARTS THEREOF.,QATAR,1.2,13
CLOCKS AND WATCHES AND PARTS THEREOF.,NEPAL,1.07,14
CLOCKS AND WATCHES AND PARTS THEREOF.,NIGERIA,0.75,15
CLOCKS AND WATCHES AND PARTS THEREOF.,SAUDI ARAB,0.72,16
CLOCKS AND WATCHES AND PARTS THEREOF.,BAHARAIN IS,0.68,17
CLOCKS AND WATCHES AND PARTS THEREOF.,OMAN,0.66,18
CLOCKS AND WATCHES AND PARTS THEREOF.,BRUNEI,0.53,19
CLOCKS AND WATCHES AND PARTS THEREOF.,NETHERLAND,0.51,20
CLOCKS AND WATCHES AND PARTS THEREOF.,ALGERIA,0.45,21
CLOCKS AND WATCHES AND PARTS THEREOF.,AUSTRALIA,0.39,22
CLOCKS AND WATCHES AND PARTS THEREOF.,MYANMAR,0.37,23
CLOCKS AND WATCHES AND PARTS THEREOF.,KUWAIT,0.36,24
CLOCKS AND WATCHES AND PARTS THEREOF.,AFGHANISTAN TIS,0.32,25
CLOCKS AND WATCHES AND PARTS THEREOF.,EGYPT A RP,0.32,25
CLOCKS AND WATCHES AND PARTS THEREOF.,CHINA P RP,0.31,26
CLOCKS AND WATCHES AND PARTS THEREOF.,KENYA,0.3,27
CLOCKS AND WATCHES AND PARTS THEREOF.,UKRAINE,0.27,28
CLOCKS AND WATCHES AND PARTS THEREOF.,YEMEN REPUBLC,0.25,29
CLOCKS AND WATCHES AND PARTS THEREOF.,FIJI IS,0.24,30
CLOCKS AND WATCHES AND PARTS THEREOF.,THAILAND,0.22,31
CLOCKS AND WATCHES AND PARTS THEREOF.,INDONESIA,0.19,32
CLOCKS AND WATCHES AND PARTS THEREOF.,SOUTH AFRICA,0.19,32
CLOCKS AND WATCHES AND PARTS THEREOF.,TURKEY,0.18,33
CLOCKS AND WATCHES AND PARTS THEREOF.,ISRAEL,0.18,33
CLOCKS AND WATCHES AND PARTS THEREOF.,MALDIVES,0.16,34
CLOCKS AND WATCHES AND PARTS THEREOF.,BHUTAN,0.13,35
CLOCKS AND WATCHES AND PARTS THEREOF.,MALAYSIA,0.11,36
CLOCKS AND WATCHES AND PARTS THEREOF.,MAURITIUS,0.11,36
CLOCKS AND WATCHES AND PARTS THEREOF.,SWAZILAND,0.1,37
CLOCKS AND WATCHES AND PARTS THEREOF.,CANADA,0.1,37
CLOCKS AND WATCHES AND PARTS THEREOF.,JAPAN,0.08,38
CLOCKS AND WATCHES AND PARTS THEREOF.,MOROCCO,0.07,39
CLOCKS AND WATCHES AND PARTS THEREOF.,CAMEROON,0.07,39
CLOCKS AND WATCHES AND PARTS THEREOF.,SPAIN,0.07,39
CLOCKS AND WATCHES AND PARTS THEREOF.,PAKISTAN IR,0.06,40
CLOCKS AND WATCHES AND PARTS THEREOF.,ITALY,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,ROMANIA,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,TANZANIA REP,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,CONGO D. REP.,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,TAIWAN,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,SUDAN,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,SENEGAL,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,POLAND,0.05,41
CLOCKS AND WATCHES AND PARTS THEREOF.,MEXICO,0.04,42
CLOCKS AND WATCHES AND PARTS THEREOF.,GHANA,0.04,42
CLOCKS AND WATCHES AND PARTS THEREOF.,DENMARK,0.04,42
CLOCKS AND WATCHES AND PARTS THEREOF.,GREECE,0.04,42
CLOCKS AND WATCHES AND PARTS THEREOF.,IRAN,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,KOREA RP,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,UGANDA,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,CHILE,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,ETHIOPIA,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,ANGOLA,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,LATVIA,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,BELGIUM,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,BRAZIL,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,VIETNAM SOC REP,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,IRELAND,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,CAMBODIA,0.03,43
CLOCKS AND WATCHES AND PARTS THEREOF.,SWEDEN,0.02,44
CLOCKS AND WATCHES AND PARTS THEREOF.,COLOMBIA,0.02,44
CLOCKS AND WATCHES AND PARTS THEREOF.,CONGO P REP,0.02,44
CLOCKS AND WATCHES AND PARTS THEREOF.,ZAMBIA,0.02,44
CLOCKS AND WATCHES AND PARTS THEREOF.,CZECH REPUBLIC,0.02,44
CLOCKS AND WATCHES AND PARTS THEREOF.,JORDAN,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,FINLAND,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,SIERRA LEONE,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,ARGENTINA,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,NEW ZEALAND,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,RUSSIA,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,NAMIBIA,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,PAPUA N GNA,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,TURKMENISTAN,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,HUNGARY,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,ZIMBABWE,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,PERU,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,LEBANON,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,GEORGIA,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,SYRIA,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,GUATEMALA,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,PARAGUAY,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,KOREA DP RP,0.01,45
CLOCKS AND WATCHES AND PARTS THEREOF.,NIGER,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,UZBEKISTAN,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,URUGUAY,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,TOGO,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,MALI,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,BURKINA FASO,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,GABON,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,PORTUGAL,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,BARBADOS,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,TUNISIA,0.0,46
CLOCKS AND WATCHES AND PARTS THEREOF.,CYPRUS,0.0,46
