Commodity,country,Total_Value,rank
COCOA AND COCOA PREPARATIONS.,U S A,52.03,1
COCOA AND COCOA PREPARATIONS.,INDONESIA,18.69,2
COCOA AND COCOA PREPARATIONS.,TURKEY,17.6,3
COCOA AND COCOA PREPARATIONS.,U ARAB EMTS,13.64,4
COCOA AND COCOA PREPARATIONS.,NEPAL,11.39,5
COCOA AND COCOA PREPARATIONS.,SAUDI ARAB,9.63,6
COCOA AND COCOA PREPARATIONS.,HONG KONG,8.4,7
COCOA AND COCOA PREPARATIONS.,PHILIPPINES,8.22,8
COCOA AND COCOA PREPARATIONS.,GERMANY,6.79,9
COCOA AND COCOA PREPARATIONS.,MALAYSIA,6.48,10
COCOA AND COCOA PREPARATIONS.,THAILAND,4.85,11
COCOA AND COCOA PREPARATIONS.,BANGLADESH PR,3.25,12
COCOA AND COCOA PREPARATIONS.,SRI LANKA DSR,3.22,13
COCOA AND COCOA PREPARATIONS.,KUWAIT,2.05,14
COCOA AND COCOA PREPARATIONS.,VIETNAM SOC REP,2.02,15
COCOA AND COCOA PREPARATIONS.,TOGO,1.82,16
COCOA AND COCOA PREPARATIONS.,EGYPT A RP,1.64,17
COCOA AND COCOA PREPARATIONS.,NETHERLAND,1.5,18
COCOA AND COCOA PREPARATIONS.,SINGAPORE,1.34,19
COCOA AND COCOA PREPARATIONS.,LEBANON,1.07,20
COCOA AND COCOA PREPARATIONS.,AUSTRALIA,1.07,20
COCOA AND COCOA PREPARATIONS.,QATAR,1.04,21
COCOA AND COCOA PREPARATIONS.,ISRAEL,1.02,22
COCOA AND COCOA PREPARATIONS.,MALDIVES,1.01,23
COCOA AND COCOA PREPARATIONS.,JORDAN,0.93,24
COCOA AND COCOA PREPARATIONS.,NIGERIA,0.88,25
COCOA AND COCOA PREPARATIONS.,CHINA P RP,0.79,26
COCOA AND COCOA PREPARATIONS.,SOMALIA,0.77,27
COCOA AND COCOA PREPARATIONS.,MYANMAR,0.74,28
COCOA AND COCOA PREPARATIONS.,IRAQ,0.6,29
COCOA AND COCOA PREPARATIONS.,BHUTAN,0.59,30
COCOA AND COCOA PREPARATIONS.,SENEGAL,0.58,31
COCOA AND COCOA PREPARATIONS.,BENIN,0.57,32
COCOA AND COCOA PREPARATIONS.,MOROCCO,0.5,33
COCOA AND COCOA PREPARATIONS.,SOUTH AFRICA,0.42,34
COCOA AND COCOA PREPARATIONS.,BAHARAIN IS,0.29,35
COCOA AND COCOA PREPARATIONS.,MEXICO,0.27,36
COCOA AND COCOA PREPARATIONS.,TANZANIA REP,0.26,37
COCOA AND COCOA PREPARATIONS.,HAITI,0.26,37
COCOA AND COCOA PREPARATIONS.,YEMEN REPUBLC,0.25,38
COCOA AND COCOA PREPARATIONS.,PAKISTAN IR,0.22,39
COCOA AND COCOA PREPARATIONS.,GUINEA,0.21,40
COCOA AND COCOA PREPARATIONS.,BRUNEI,0.2,41
COCOA AND COCOA PREPARATIONS.,MADAGASCAR,0.18,42
COCOA AND COCOA PREPARATIONS.,SIERRA LEONE,0.18,42
COCOA AND COCOA PREPARATIONS.,CANADA,0.17,43
COCOA AND COCOA PREPARATIONS.,FRANCE,0.17,43
COCOA AND COCOA PREPARATIONS.,ALGERIA,0.17,43
COCOA AND COCOA PREPARATIONS.,DOMINIC REP,0.17,43
COCOA AND COCOA PREPARATIONS.,U K,0.15,44
COCOA AND COCOA PREPARATIONS.,EL SALVADOR,0.15,44
COCOA AND COCOA PREPARATIONS.,TUNISIA,0.14,45
COCOA AND COCOA PREPARATIONS.,KENYA,0.13,46
COCOA AND COCOA PREPARATIONS.,SEYCHELLES,0.12,47
COCOA AND COCOA PREPARATIONS.,LIBYA,0.11,48
COCOA AND COCOA PREPARATIONS.,CONGO P REP,0.11,48
COCOA AND COCOA PREPARATIONS.,GHANA,0.11,48
COCOA AND COCOA PREPARATIONS.,OMAN,0.1,49
COCOA AND COCOA PREPARATIONS.,UZBEKISTAN,0.1,49
COCOA AND COCOA PREPARATIONS.,CAMEROON,0.09,50
COCOA AND COCOA PREPARATIONS.,GUATEMALA,0.09,50
COCOA AND COCOA PREPARATIONS.,VENEZUELA,0.08,51
COCOA AND COCOA PREPARATIONS.,NEW ZEALAND,0.08,51
COCOA AND COCOA PREPARATIONS.,GUAM,0.08,51
COCOA AND COCOA PREPARATIONS.,GEORGIA,0.07,52
COCOA AND COCOA PREPARATIONS.,GAMBIA,0.07,52
COCOA AND COCOA PREPARATIONS.,NIGER,0.06,53
COCOA AND COCOA PREPARATIONS.,UGANDA,0.06,53
COCOA AND COCOA PREPARATIONS.,TAIWAN,0.05,54
COCOA AND COCOA PREPARATIONS.,ANGOLA,0.05,54
COCOA AND COCOA PREPARATIONS.,BELGIUM,0.04,55
COCOA AND COCOA PREPARATIONS.,SAO TOME,0.04,55
COCOA AND COCOA PREPARATIONS.,PARAGUAY,0.04,55
COCOA AND COCOA PREPARATIONS.,ARMENIA,0.04,55
COCOA AND COCOA PREPARATIONS.,RUSSIA,0.04,55
COCOA AND COCOA PREPARATIONS.,LIECHTENSTEIN,0.04,55
COCOA AND COCOA PREPARATIONS.,PANAMA REPUBLIC,0.04,55
COCOA AND COCOA PREPARATIONS.,JAPAN,0.04,55
COCOA AND COCOA PREPARATIONS.,GUYANA,0.03,56
COCOA AND COCOA PREPARATIONS.,LIBERIA,0.03,56
COCOA AND COCOA PREPARATIONS.,FIJI IS,0.02,57
COCOA AND COCOA PREPARATIONS.,SPAIN,0.02,57
COCOA AND COCOA PREPARATIONS.,CONGO D. REP.,0.02,57
COCOA AND COCOA PREPARATIONS.,UKRAINE,0.02,57
COCOA AND COCOA PREPARATIONS.,CZECH REPUBLIC,0.02,57
COCOA AND COCOA PREPARATIONS.,MAURITIUS,0.01,58
COCOA AND COCOA PREPARATIONS.,ZAMBIA,0.01,58
COCOA AND COCOA PREPARATIONS.,COTE D' IVOIRE,0.01,58
COCOA AND COCOA PREPARATIONS.,SWITZERLAND,0.01,58
COCOA AND COCOA PREPARATIONS.,DJIBOUTI,0.01,58
COCOA AND COCOA PREPARATIONS.,NAMIBIA,0.01,58
COCOA AND COCOA PREPARATIONS.,IRAN,0.0,59
COCOA AND COCOA PREPARATIONS.,HUNGARY,0.0,59
COCOA AND COCOA PREPARATIONS.,LUXEMBOURG,0.0,59
COCOA AND COCOA PREPARATIONS.,COMOROS,0.0,59
COCOA AND COCOA PREPARATIONS.,EQUTL GUINEA,0.0,59
COCOA AND COCOA PREPARATIONS.,MALAWI,0.0,59
COCOA AND COCOA PREPARATIONS.,MOZAMBIQUE,0.0,59
COCOA AND COCOA PREPARATIONS.,ETHIOPIA,0.0,59
COCOA AND COCOA PREPARATIONS.,BOTSWANA,0.0,59
COCOA AND COCOA PREPARATIONS.,SAMOA,0.0,59
COCOA AND COCOA PREPARATIONS.,GABON,0.0,59
COCOA AND COCOA PREPARATIONS.,CYPRUS,0.0,59
COCOA AND COCOA PREPARATIONS.,POLAND,0.0,59
COCOA AND COCOA PREPARATIONS.,ITALY,0.0,59
COCOA AND COCOA PREPARATIONS.,BRAZIL,0.0,59
COCOA AND COCOA PREPARATIONS.,RWANDA,0.0,59
COCOA AND COCOA PREPARATIONS.,AUSTRIA,0.0,59
COCOA AND COCOA PREPARATIONS.,AFGHANISTAN TIS,0.0,59
COCOA AND COCOA PREPARATIONS.,NETHERLANDANTIL,0.0,59
COCOA AND COCOA PREPARATIONS.,SLOVENIA,,60
COCOA AND COCOA PREPARATIONS.,BULGARIA,,60
COCOA AND COCOA PREPARATIONS.,CAYMAN IS,,60
COCOA AND COCOA PREPARATIONS.,VANUATU REP,,60
COCOA AND COCOA PREPARATIONS.,ROMANIA,,60
COCOA AND COCOA PREPARATIONS.,SUDAN,,60
COCOA AND COCOA PREPARATIONS.,PORTUGAL,,60
COCOA AND COCOA PREPARATIONS.,CAMBODIA,,60
COCOA AND COCOA PREPARATIONS.,BURKINA FASO,,60
COCOA AND COCOA PREPARATIONS.,SURINAME,,60
COCOA AND COCOA PREPARATIONS.,KOREA RP,,60
COCOA AND COCOA PREPARATIONS.,TRINIDAD,,60
COCOA AND COCOA PREPARATIONS.,LATVIA,,60
COCOA AND COCOA PREPARATIONS.,MALI,,60
COCOA AND COCOA PREPARATIONS.,DENMARK,,60
