Commodity,country,Total_Value,rank
"COFFEE, TEA, MATE AND SPICES.",U S A,314.4,1
"COFFEE, TEA, MATE AND SPICES.",VIETNAM SOC REP,240.33,2
"COFFEE, TEA, MATE AND SPICES.",IRAN,189.26,3
"COFFEE, TEA, MATE AND SPICES.",CHINA P RP,169.39,4
"COFFEE, TEA, MATE AND SPICES.",ITALY,168.96,5
"COFFEE, TEA, MATE AND SPICES.",BANGLADESH PR,150.14,6
"COFFEE, TEA, MATE AND SPICES.",U ARAB EMTS,143.34,7
"COFFEE, TEA, MATE AND SPICES.",GERMANY,136.67,8
"COFFEE, TEA, MATE AND SPICES.",RUSSIA,121.4,9
"COFFEE, TEA, MATE AND SPICES.",U K,116.93,10
"COFFEE, TEA, MATE AND SPICES.",THAILAND,113.43,11
"COFFEE, TEA, MATE AND SPICES.",MALAYSIA,93.29,12
"COFFEE, TEA, MATE AND SPICES.",SRI LANKA DSR,92.49,13
"COFFEE, TEA, MATE AND SPICES.",SAUDI ARAB,68.07,14
"COFFEE, TEA, MATE AND SPICES.",INDONESIA,60.43,15
"COFFEE, TEA, MATE AND SPICES.",AUSTRALIA,54.9,16
"COFFEE, TEA, MATE AND SPICES.",BELGIUM,53.5,17
"COFFEE, TEA, MATE AND SPICES.",EGYPT A RP,49.4,18
"COFFEE, TEA, MATE AND SPICES.",PAKISTAN IR,48.19,19
"COFFEE, TEA, MATE AND SPICES.",NEPAL,42.48,20
"COFFEE, TEA, MATE AND SPICES.",NETHERLAND,39.96,21
"COFFEE, TEA, MATE AND SPICES.",CANADA,39.01,22
"COFFEE, TEA, MATE AND SPICES.",KUWAIT,38.36,23
"COFFEE, TEA, MATE AND SPICES.",JAPAN,37.43,24
"COFFEE, TEA, MATE AND SPICES.",MOROCCO,30.94,25
"COFFEE, TEA, MATE AND SPICES.",KAZAKHSTAN,29.1,26
"COFFEE, TEA, MATE AND SPICES.",QATAR,28.9,27
"COFFEE, TEA, MATE AND SPICES.",LIBYA,27.61,28
"COFFEE, TEA, MATE AND SPICES.",JORDAN,26.52,29
"COFFEE, TEA, MATE AND SPICES.",POLAND,25.59,30
"COFFEE, TEA, MATE AND SPICES.",SPAIN,24.33,31
"COFFEE, TEA, MATE AND SPICES.",SOUTH AFRICA,21.74,32
"COFFEE, TEA, MATE AND SPICES.",OMAN,18.36,33
"COFFEE, TEA, MATE AND SPICES.",KOREA RP,17.04,34
"COFFEE, TEA, MATE AND SPICES.",FRANCE,16.69,35
"COFFEE, TEA, MATE AND SPICES.",SINGAPORE,16.48,36
"COFFEE, TEA, MATE AND SPICES.",BRAZIL,15.02,37
"COFFEE, TEA, MATE AND SPICES.",ISRAEL,14.94,38
"COFFEE, TEA, MATE AND SPICES.",IRAQ,14.56,39
"COFFEE, TEA, MATE AND SPICES.",UKRAINE,14.24,40
"COFFEE, TEA, MATE AND SPICES.",AFGHANISTAN TIS,13.75,41
"COFFEE, TEA, MATE AND SPICES.",GREECE,13.65,42
"COFFEE, TEA, MATE AND SPICES.",TUNISIA,12.82,43
"COFFEE, TEA, MATE AND SPICES.",NIGERIA,11.84,44
"COFFEE, TEA, MATE AND SPICES.",TAIWAN,11.81,45
"COFFEE, TEA, MATE AND SPICES.",SLOVENIA,11.77,46
"COFFEE, TEA, MATE AND SPICES.",TURKEY,11.23,47
"COFFEE, TEA, MATE AND SPICES.",SWEDEN,9.13,48
"COFFEE, TEA, MATE AND SPICES.",SYRIA,8.47,49
"COFFEE, TEA, MATE AND SPICES.",MEXICO,7.82,50
"COFFEE, TEA, MATE AND SPICES.",MYANMAR,7.63,51
"COFFEE, TEA, MATE AND SPICES.",PORTUGAL,7.01,52
"COFFEE, TEA, MATE AND SPICES.",CROATIA,6.92,53
"COFFEE, TEA, MATE AND SPICES.",BAHARAIN IS,6.89,54
"COFFEE, TEA, MATE AND SPICES.",YEMEN REPUBLC,6.87,55
