Commodity,country,Total_Value,rank
COPPER AND ARTICLES THEREOF.,CHINA P RP,244.06,1
COPPER AND ARTICLES THEREOF.,U S A,153.3,2
COPPER AND ARTICLES THEREOF.,QATAR,64.36,3
COPPER AND ARTICLES THEREOF.,U ARAB EMTS,50.52,4
COPPER AND ARTICLES THEREOF.,TAIWAN,38.49,5
COPPER AND ARTICLES THEREOF.,GERMANY,31.51,6
COPPER AND ARTICLES THEREOF.,U K,31.09,7
COPPER AND ARTICLES THEREOF.,KOREA RP,30.45,8
COPPER AND ARTICLES THEREOF.,NEPAL,29.95,9
COPPER AND ARTICLES THEREOF.,SAUDI ARAB,29.54,10
COPPER AND ARTICLES THEREOF.,MALAYSIA,24.78,11
COPPER AND ARTICLES THEREOF.,BANGLADESH PR,18.44,12
COPPER AND ARTICLES THEREOF.,INDONESIA,13.96,13
COPPER AND ARTICLES THEREOF.,OMAN,12.85,14
COPPER AND ARTICLES THEREOF.,THAILAND,12.52,15
COPPER AND ARTICLES THEREOF.,ITALY,11.04,16
COPPER AND ARTICLES THEREOF.,NETHERLAND,10.96,17
COPPER AND ARTICLES THEREOF.,CANADA,10.37,18
COPPER AND ARTICLES THEREOF.,FRANCE,9.34,19
COPPER AND ARTICLES THEREOF.,SRI LANKA DSR,8.78,20
COPPER AND ARTICLES THEREOF.,AUSTRALIA,7.48,21
COPPER AND ARTICLES THEREOF.,SPAIN,7.39,22
COPPER AND ARTICLES THEREOF.,SOUTH AFRICA,6.4,23
COPPER AND ARTICLES THEREOF.,COLOMBIA,6.39,24
COPPER AND ARTICLES THEREOF.,PERU,6.2,25
COPPER AND ARTICLES THEREOF.,TURKEY,6.03,26
COPPER AND ARTICLES THEREOF.,KUWAIT,5.57,27
COPPER AND ARTICLES THEREOF.,ISRAEL,5.33,28
COPPER AND ARTICLES THEREOF.,BELGIUM,5.28,29
COPPER AND ARTICLES THEREOF.,ZAMBIA,5.17,30
COPPER AND ARTICLES THEREOF.,BRAZIL,5.16,31
COPPER AND ARTICLES THEREOF.,HONG KONG,4.94,32
COPPER AND ARTICLES THEREOF.,SWEDEN,4.66,33
COPPER AND ARTICLES THEREOF.,PAKISTAN IR,4.64,34
COPPER AND ARTICLES THEREOF.,JAPAN,4.47,35
COPPER AND ARTICLES THEREOF.,PHILIPPINES,4.34,36
COPPER AND ARTICLES THEREOF.,IRAN,4.32,37
COPPER AND ARTICLES THEREOF.,RUSSIA,3.66,38
COPPER AND ARTICLES THEREOF.,POLAND,3.32,39
COPPER AND ARTICLES THEREOF.,FINLAND,3.22,40
COPPER AND ARTICLES THEREOF.,NIGERIA,2.91,41
COPPER AND ARTICLES THEREOF.,SINGAPORE,2.89,42
COPPER AND ARTICLES THEREOF.,BAHARAIN IS,2.87,43
COPPER AND ARTICLES THEREOF.,MEXICO,2.85,44
