Commodity,country,Total_Value,rank
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,U ARAB EMTS,267.1,1
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,NETHERLAND,224.38,2
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SAUDI ARAB,143.74,3
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,BANGLADESH PR,84.43,4
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,JAPAN,83.59,5
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,U S A,76.13,6
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,U K,73.15,7
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,GERMANY,52.03,8
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,RUSSIA,51.51,9
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,NEPAL,42.11,10
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,OMAN,39.84,11
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,KUWAIT,35.07,12
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,QATAR,34.78,13
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,BELGIUM,34.44,14
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SPAIN,33.59,15
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,VIETNAM SOC REP,27.14,16
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,AFGHANISTAN TIS,25.01,17
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,FRANCE,20.02,18
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,MALAYSIA,17.76,19
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SINGAPORE,17.47,20
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,BAHARAIN IS,15.93,21
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,IRAN,13.72,22
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,CANADA,13.45,23
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,HONG KONG,12.59,24
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,GREECE,11.98,25
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,YEMEN REPUBLC,11.62,26
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,THAILAND,11.5,27
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SRI LANKA DSR,9.06,28
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,CHINA P RP,8.73,29
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,KOREA RP,8.67,30
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,TURKEY,8.43,31
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,MALDIVES,8.32,32
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,POLAND,7.39,33
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,IRAQ,7.16,34
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,PAKISTAN IR,6.32,35
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,EGYPT A RP,4.7,36
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,TRINIDAD,4.61,37
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,DENMARK,4.4,38
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,MOROCCO,4.05,39
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,ITALY,3.75,40
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SWITZERLAND,3.34,41
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,INDONESIA,3.25,42
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,FINLAND,3.21,43
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,AUSTRALIA,3.04,44
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,JORDAN,2.96,45
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,ISRAEL,2.91,46
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,TAIWAN,2.8,47
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,NEW ZEALAND,2.38,48
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,NORWAY,2.32,49
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,UKRAINE,2.3,50
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,LEBANON,1.99,51
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SOUTH AFRICA,1.62,52
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SWEDEN,1.52,53
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,IRELAND,1.48,54
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,MAURITIUS,1.41,55
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,ALGERIA,1.36,56
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,PORTUGAL,1.33,57
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,COLOMBIA,1.25,58
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,LATVIA,1.22,59
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,LITHUANIA,1.12,60
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SYRIA,0.92,61
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,CZECH REPUBLIC,0.89,62
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,SUDAN,0.89,62
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,ROMANIA,0.87,63
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,AUSTRIA,0.86,64
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,LIBYA,0.86,64
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,BRUNEI,0.82,65
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,CHILE,0.73,66
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,BRAZIL,0.72,67
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,TUNISIA,0.7,68
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,CYPRUS,0.65,69
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,KENYA,0.47,70
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,ANGOLA,0.37,71
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,DJIBOUTI,0.36,72
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,GEORGIA,0.26,73
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,MEXICO,0.26,73
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,DOMINIC REP,0.25,74
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,TANZANIA REP,0.25,74
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,BELARUS,0.25,74
