Commodity,country,Total_Value,rank
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BANGLADESH PR,176.53,1
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,U ARAB EMTS,140.28,2
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MALAYSIA,85.78,3
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,NEPAL,81.66,4
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SRI LANKA DSR,80.4,5
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,U S A,60.58,6
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,QATAR,52.46,7
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,U K,50.91,8
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ALGERIA,44.02,9
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SAUDI ARAB,43.22,10
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,OMAN,36.87,11
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,KUWAIT,31.95,12
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GERMANY,23.17,13
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,FRANCE,22.96,14
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,RUSSIA,21.62,15
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CANADA,20.77,16
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BELGIUM,19.73,17
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SINGAPORE,18.85,18
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,INDONESIA,17.47,19
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TURKEY,17.15,20
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SPAIN,15.68,21
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,PHILIPPINES,14.36,22
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,VIETNAM SOC REP,13.22,23
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BAHARAIN IS,12.89,24
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,IRAQ,11.6,25
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MALDIVES,11.23,26
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MOROCCO,11.12,27
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,EGYPT A RP,9.13,28
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BRAZIL,8.35,29
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,PAKISTAN IR,8.31,30
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MAURITIUS,8.07,31
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,THAILAND,7.75,32
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,AUSTRALIA,7.46,33
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,IRAN,7.13,34
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CHINA P RP,7.06,35
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,NETHERLAND,6.67,36
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ITALY,6.32,37
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,LIBYA,5.46,38
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GREECE,5.18,39
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SOUTH AFRICA,4.35,40
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SLOVENIA,4.12,41
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,POLAND,3.9,42
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,JAPAN,3.8,43
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SWEDEN,3.78,44
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,NIGERIA,3.2,45
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MEXICO,3.19,46
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TUNISIA,3.11,47
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SWITZERLAND,2.83,48
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,NEW ZEALAND,2.43,49
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,UKRAINE,2.12,50
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,HONG KONG,2.08,51
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,JORDAN,1.98,52
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,PORTUGAL,1.9,53
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,AFGHANISTAN TIS,1.89,54
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CHILE,1.87,55
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,REUNION,1.76,56
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ISRAEL,1.61,57
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CROATIA,1.59,58
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,HUNGARY,1.44,59
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,COTE D' IVOIRE,1.44,59
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SEYCHELLES,1.35,60
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,KOREA RP,1.33,61
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BRUNEI,1.31,62
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,FINLAND,1.07,63
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ESTONIA,1.03,64
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,LEBANON,0.97,65
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ROMANIA,0.82,66
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ARGENTINA,0.82,66
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,LITHUANIA,0.8,67
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SENEGAL,0.79,68
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CAMEROON,0.78,69
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,NORWAY,0.74,70
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,DOMINIC REP,0.64,71
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,DENMARK,0.62,72
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,LATVIA,0.62,72
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TAIWAN,0.61,73
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,IRELAND,0.6,74
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BULGARIA,0.56,75
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,COLOMBIA,0.53,76
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GEORGIA,0.48,77
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,KAZAKHSTAN,0.46,78
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MYANMAR,0.41,79
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GUATEMALA,0.39,80
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,AUSTRIA,0.35,81
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GABON,0.28,82
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,PERU,0.28,82
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,KENYA,0.26,83
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CZECH REPUBLIC,0.24,84
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SLOVAK REP,0.24,84
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BHUTAN,0.23,85
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TRINIDAD,0.23,85
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,YEMEN REPUBLC,0.22,86
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ECUADOR,0.22,86
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MAYOTTE,0.22,86
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SYRIA,0.2,87
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CONGO D. REP.,0.19,88
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,COMOROS,0.17,89
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SOMALIA,0.17,89
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ALBANIA,0.17,89
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GUYANA,0.16,90
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SERBIA,0.15,91
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MONTENEGRO,0.15,91
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TANZANIA REP,0.15,91
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MONGOLIA,0.13,92
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BENIN,0.11,93
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GHANA,0.1,94
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,FIJI IS,0.1,94
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ARMENIA,0.09,95
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,VENEZUELA,0.09,95
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TOGO,0.09,95
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,PANAMA REPUBLIC,0.09,95
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MACEDONIA,0.09,95
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CYPRUS,0.08,96
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SURINAME,0.08,96
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,EL SALVADOR,0.07,97
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BELARUS,0.07,97
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ANGOLA,0.07,97
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SIERRA LEONE,0.04,98
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,UGANDA,0.04,98
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,URUGUAY,0.04,98
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TURKMENISTAN,0.04,98
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CONGO P REP,0.04,98
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,AZERBAIJAN,0.03,99
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MADAGASCAR,0.03,99
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SUDAN,0.03,99
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BOLIVIA,0.03,99
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,NIGER,0.02,100
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,TIMOR LESTE,0.02,100
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,STATE OF PALEST,0.02,100
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MALAWI,0.02,100
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,COSTA RICA,0.02,100
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,JAMAICA,0.02,100
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MOZAMBIQUE,0.02,100
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,UZBEKISTAN,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CAMBODIA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,LIBERIA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BOTSWANA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GAMBIA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GUINEA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,DJIBOUTI,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,RWANDA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MACAO,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MALTA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BOSNIA-HRZGOVIN,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,PAPUA N GNA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,SOLOMON IS,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ST LUCIA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ZAMBIA,0.01,101
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,NETHERLANDANTIL,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,ZIMBABWE,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,MALI,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BAHAMAS,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BELIZE,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,CAYMAN IS,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,UNSPECIFIED,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,GRENADA,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,KYRGHYZSTAN,0.0,102
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,BURKINA FASO,0.0,102
