Commodity,country,Total_Value,rank
FERTILISERS.,NEPAL,67.88,1
FERTILISERS.,MALAYSIA,19.52,2
FERTILISERS.,MOZAMBIQUE,13.15,3
FERTILISERS.,U S A,4.01,4
FERTILISERS.,PAKISTAN IR,3.97,5
FERTILISERS.,VIETNAM SOC REP,3.74,6
FERTILISERS.,SRI LANKA DSR,3.56,7
FERTILISERS.,OMAN,2.9,8
FERTILISERS.,PERU,2.45,9
FERTILISERS.,U ARAB EMTS,2.3,10
FERTILISERS.,NETHERLAND,2.23,11
FERTILISERS.,KENYA,2.18,12
FERTILISERS.,BELGIUM,2.13,13
FERTILISERS.,ETHIOPIA,1.86,14
FERTILISERS.,INDONESIA,1.43,15
FERTILISERS.,MOROCCO,1.22,16
FERTILISERS.,CHINA P RP,1.1,17
FERTILISERS.,PHILIPPINES,0.86,18
FERTILISERS.,BANGLADESH PR,0.84,19
FERTILISERS.,ZAMBIA,0.65,20
FERTILISERS.,THAILAND,0.64,21
FERTILISERS.,SAUDI ARAB,0.64,21
FERTILISERS.,EGYPT A RP,0.49,22
FERTILISERS.,IRAN,0.47,23
FERTILISERS.,SERBIA,0.46,24
FERTILISERS.,AUSTRALIA,0.43,25
FERTILISERS.,DJIBOUTI,0.41,26
FERTILISERS.,MALDIVES,0.4,27
FERTILISERS.,TANZANIA REP,0.39,28
FERTILISERS.,CANADA,0.37,29
FERTILISERS.,SPAIN,0.37,29
FERTILISERS.,TUNISIA,0.36,30
FERTILISERS.,TURKEY,0.35,31
FERTILISERS.,LEBANON,0.34,32
FERTILISERS.,BRAZIL,0.34,32
FERTILISERS.,KOREA RP,0.33,33
FERTILISERS.,MALAWI,0.29,34
FERTILISERS.,MADAGASCAR,0.26,35
FERTILISERS.,GERMANY,0.25,36
FERTILISERS.,TAIWAN,0.23,37
FERTILISERS.,SINGAPORE,0.22,38
FERTILISERS.,JAPAN,0.19,39
FERTILISERS.,U K,0.17,40
FERTILISERS.,GHANA,0.17,40
FERTILISERS.,SOUTH AFRICA,0.15,41
FERTILISERS.,MYANMAR,0.1,42
FERTILISERS.,SWITZERLAND,0.09,43
FERTILISERS.,CAMEROON,0.09,43
FERTILISERS.,LITHUANIA,0.08,44
FERTILISERS.,COTE D' IVOIRE,0.07,45
FERTILISERS.,JORDAN,0.07,45
FERTILISERS.,MEXICO,0.06,46
FERTILISERS.,NEW ZEALAND,0.06,46
FERTILISERS.,CHILE,0.06,46
FERTILISERS.,QATAR,0.05,47
FERTILISERS.,ITALY,0.05,47
FERTILISERS.,MAURITIUS,0.04,48
FERTILISERS.,ZIMBABWE,0.04,48
FERTILISERS.,GUATEMALA,0.03,49
FERTILISERS.,IRAQ,0.03,49
FERTILISERS.,BENIN,0.03,49
FERTILISERS.,ECUADOR,0.03,49
FERTILISERS.,GREECE,0.03,49
FERTILISERS.,DOMINIC REP,0.02,50
FERTILISERS.,COLOMBIA,0.02,50
FERTILISERS.,KUWAIT,0.02,50
FERTILISERS.,UGANDA,0.02,50
FERTILISERS.,UKRAINE,0.02,50
FERTILISERS.,ROMANIA,0.02,50
FERTILISERS.,NIGERIA,0.02,50
FERTILISERS.,RWANDA,0.01,51
FERTILISERS.,YEMEN REPUBLC,0.01,51
FERTILISERS.,TRINIDAD,0.01,51
FERTILISERS.,GUINEA,0.01,51
FERTILISERS.,LIBERIA,0.01,51
FERTILISERS.,CONGO D. REP.,0.01,51
FERTILISERS.,SENEGAL,0.01,51
FERTILISERS.,GUYANA,0.0,52
FERTILISERS.,AFGHANISTAN TIS,0.0,52
FERTILISERS.,ALGERIA,0.0,52
FERTILISERS.,HONDURAS,0.0,52
FERTILISERS.,CYPRUS,0.0,52
FERTILISERS.,SYRIA,0.0,52
FERTILISERS.,BARBADOS,0.0,52
FERTILISERS.,BOTSWANA,0.0,52
FERTILISERS.,UZBEKISTAN,0.0,52
FERTILISERS.,SEYCHELLES,0.0,52
FERTILISERS.,ARGENTINA,0.0,52
FERTILISERS.,CAMBODIA,0.0,52
FERTILISERS.,SURINAME,0.0,52
FERTILISERS.,BELIZE,0.0,52
FERTILISERS.,JAMAICA,0.0,52
FERTILISERS.,BRUNEI,0.0,52
FERTILISERS.,BOSNIA-HRZGOVIN,0.0,52
FERTILISERS.,ISRAEL,0.0,52
FERTILISERS.,BURUNDI,0.0,52
FERTILISERS.,BHUTAN,0.0,52
FERTILISERS.,EQUTL GUINEA,0.0,52
FERTILISERS.,PARAGUAY,0.0,52
FERTILISERS.,LAO PD RP,0.0,52
FERTILISERS.,PORTUGAL,,53
FERTILISERS.,POLAND,,53
FERTILISERS.,SOMALIA,,53
FERTILISERS.,BAHARAIN IS,,53
FERTILISERS.,MONGOLIA,,53
FERTILISERS.,LATVIA,,53
FERTILISERS.,SIERRA LEONE,,53
FERTILISERS.,ALBANIA,,53
FERTILISERS.,CONGO P REP,,53
FERTILISERS.,MOLDOVA,,53
FERTILISERS.,FIJI IS,,53
FERTILISERS.,BULGARIA,,53
FERTILISERS.,AZERBAIJAN,,53
FERTILISERS.,ERITREA,,53
FERTILISERS.,ANGOLA,,53
FERTILISERS.,TOGO,,53
FERTILISERS.,SLOVENIA,,53
FERTILISERS.,BOLIVIA,,53
FERTILISERS.,KAZAKHSTAN,,53
FERTILISERS.,CUBA,,53
FERTILISERS.,GAMBIA,,53
FERTILISERS.,GEORGIA,,53
FERTILISERS.,FRANCE,,53
FERTILISERS.,NORWAY,,53
