Commodity,country,Total_Value,rank
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",U S A,420.45,1
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",U K,383.17,2
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",GERMANY,350.31,3
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",FRANCE,186.06,4
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",U ARAB EMTS,146.21,5
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ITALY,141.21,6
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SOMALIA,101.26,7
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SPAIN,99.0,8
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",NETHERLAND,92.45,9
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",POLAND,89.75,10
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BELGIUM,85.28,11
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",PORTUGAL,47.5,12
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CHINA P RP,40.35,13
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",JAPAN,38.99,14
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",NIGERIA,34.32,15
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",AUSTRIA,33.54,16
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",KENYA,31.62,17
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",AUSTRALIA,28.41,18
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SOUTH AFRICA,28.12,19
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",RUSSIA,26.64,20
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SLOVAK REP,24.32,21
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SAUDI ARAB,23.69,22
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",KOREA RP,23.34,23
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",TANZANIA REP,22.69,24
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MEXICO,22.53,25
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CANADA,20.3,26
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",HUNGARY,19.79,27
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CHILE,19.78,28
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",AFGHANISTAN TIS,18.35,29
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SWITZERLAND,16.12,30
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MALAYSIA,15.15,31
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",HONG KONG,14.9,32
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",INDONESIA,12.56,33
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",FINLAND,12.32,34
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CAMEROON,10.75,35
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ISRAEL,10.49,36
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SWEDEN,9.62,37
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",NEPAL,9.47,38
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SUDAN,8.91,39
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",OMAN,8.73,40
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",DENMARK,8.23,41
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",THAILAND,7.44,42
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MYANMAR,7.36,43
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",QATAR,6.54,44
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",DJIBOUTI,6.27,45
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SLOVENIA,5.81,46
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",GREECE,5.54,47
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",KUWAIT,5.33,48
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",PERU,5.14,49
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BANGLADESH PR,5.09,50
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ARGENTINA,4.9,51
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",NEW ZEALAND,4.85,52
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",PHILIPPINES,4.44,53
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BRAZIL,4.39,54
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SRI LANKA DSR,4.35,55
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BENIN,4.1,56
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SINGAPORE,3.96,57
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",GUINEA,3.8,58
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",PANAMA REPUBLIC,3.59,59
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CZECH REPUBLIC,3.4,60
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",PAPUA N GNA,2.95,61
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ROMANIA,2.93,62
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",TURKEY,2.85,63
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MAURITIUS,2.81,64
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",IRELAND,2.68,65
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",UGANDA,2.65,66
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CYPRUS,2.62,67
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",TAIWAN,2.59,68
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",LITHUANIA,2.58,69
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MOZAMBIQUE,2.57,70
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BELARUS,2.44,71
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",YEMEN REPUBLC,2.02,72
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BHUTAN,1.93,73
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",JORDAN,1.86,74
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",TUNISIA,1.79,75
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",UKRAINE,1.76,76
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",GHANA,1.55,77
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",EGYPT A RP,1.54,78
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",GAMBIA,1.39,79
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",NORWAY,1.38,80
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MONACO,1.37,81
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CROATIA,1.33,82
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BAHARAIN IS,1.32,83
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",VIETNAM SOC REP,1.17,84
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",COLOMBIA,1.16,85
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ALGERIA,1.12,86
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",GEORGIA,1.09,87
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MAURITANIA,1.03,88
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CHAD,1.01,89
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ZAMBIA,0.93,90
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MOROCCO,0.89,91
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",COTE D' IVOIRE,0.86,92
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",FIJI IS,0.83,93
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",COSTA RICA,0.76,94
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ALBANIA,0.75,95
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SENEGAL,0.68,96
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ZIMBABWE,0.66,97
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",TOGO,0.6,98
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ESTONIA,0.54,99
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MALAWI,0.54,99
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MALTA,0.54,99
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",URUGUAY,0.54,99
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",PAKISTAN IR,0.54,99
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",IRAN,0.5,100
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MAYOTTE,0.45,101
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BRUNEI,0.43,102
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",COMOROS,0.4,103
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",EL SALVADOR,0.4,103
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",C AFRI REP,0.38,104
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",KAZAKHSTAN,0.38,104
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CONGO D. REP.,0.38,104
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",LIBYA,0.37,105
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",SERBIA,0.36,106
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",REUNION,0.36,106
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",ANGOLA,0.35,107
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",LEBANON,0.32,108
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",MALDIVES,0.31,109
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",CONGO P REP,0.3,110
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",BOTSWANA,0.29,111
