Commodity,country,Total_Value,rank
GLASS AND GLASSWARE.,U S A,160.31,1
GLASS AND GLASSWARE.,U ARAB EMTS,133.39,2
GLASS AND GLASSWARE.,NEPAL,44.01,3
GLASS AND GLASSWARE.,U K,43.43,4
GLASS AND GLASSWARE.,GERMANY,42.64,5
GLASS AND GLASSWARE.,IRAN,34.65,6
GLASS AND GLASSWARE.,MEXICO,24.26,7
GLASS AND GLASSWARE.,FRANCE,24.22,8
GLASS AND GLASSWARE.,BRAZIL,22.43,9
GLASS AND GLASSWARE.,SPAIN,20.81,10
GLASS AND GLASSWARE.,CHINA P RP,19.78,11
GLASS AND GLASSWARE.,SRI LANKA DSR,19.52,12
GLASS AND GLASSWARE.,MALAYSIA,18.94,13
GLASS AND GLASSWARE.,SOUTH AFRICA,18.26,14
GLASS AND GLASSWARE.,ZAMBIA,15.72,15
GLASS AND GLASSWARE.,NETHERLAND,15.67,16
GLASS AND GLASSWARE.,ITALY,15.31,17
GLASS AND GLASSWARE.,BELGIUM,14.47,18
GLASS AND GLASSWARE.,EGYPT A RP,12.83,19
GLASS AND GLASSWARE.,QATAR,10.05,20
GLASS AND GLASSWARE.,BANGLADESH PR,9.67,21
GLASS AND GLASSWARE.,SINGAPORE,9.3,22
GLASS AND GLASSWARE.,NIGERIA,9.05,23
GLASS AND GLASSWARE.,TURKEY,8.94,24
GLASS AND GLASSWARE.,SAUDI ARAB,8.44,25
GLASS AND GLASSWARE.,AUSTRALIA,8.23,26
GLASS AND GLASSWARE.,AUSTRIA,8.03,27
GLASS AND GLASSWARE.,HONG KONG,7.83,28
GLASS AND GLASSWARE.,POLAND,7.51,29
GLASS AND GLASSWARE.,VIETNAM SOC REP,6.96,30
GLASS AND GLASSWARE.,CANADA,6.41,31
GLASS AND GLASSWARE.,INDONESIA,6.24,32
GLASS AND GLASSWARE.,DENMARK,5.66,33
GLASS AND GLASSWARE.,THAILAND,5.12,34
GLASS AND GLASSWARE.,KENYA,5.06,35
GLASS AND GLASSWARE.,COLOMBIA,4.85,36
GLASS AND GLASSWARE.,KUWAIT,4.3,37
