Commodity,country,Total_Value,rank
IRON AND STEEL,NEPAL,1140.02,1
IRON AND STEEL,ITALY,887.32,2
IRON AND STEEL,U ARAB EMTS,733.44,3
IRON AND STEEL,BELGIUM,600.81,4
IRON AND STEEL,VIETNAM SOC REP,486.22,5
IRON AND STEEL,KOREA RP,449.0,6
IRON AND STEEL,BANGLADESH PR,323.45,7
IRON AND STEEL,CHINA P RP,318.9,8
IRON AND STEEL,SPAIN,311.07,9
IRON AND STEEL,INDONESIA,276.76,10
IRON AND STEEL,U S A,247.39,11
IRON AND STEEL,MALAYSIA,242.37,12
IRON AND STEEL,JAPAN,235.59,13
IRON AND STEEL,TAIWAN,223.73,14
IRON AND STEEL,THAILAND,201.61,15
IRON AND STEEL,TURKEY,172.63,16
IRON AND STEEL,NETHERLAND,168.29,17
IRON AND STEEL,SRI LANKA DSR,161.55,18
IRON AND STEEL,GERMANY,161.34,19
IRON AND STEEL,SAUDI ARAB,158.71,20
IRON AND STEEL,POLAND,131.58,21
IRON AND STEEL,MEXICO,105.53,22
IRON AND STEEL,PHILIPPINES,101.84,23
IRON AND STEEL,U K,93.13,24
IRON AND STEEL,BRAZIL,88.99,25
IRON AND STEEL,ETHIOPIA,85.8,26
IRON AND STEEL,OMAN,84.31,27
IRON AND STEEL,RUSSIA,80.99,28
IRON AND STEEL,DJIBOUTI,68.89,29
IRON AND STEEL,HONG KONG,65.23,30
IRON AND STEEL,QATAR,64.82,31
IRON AND STEEL,IRAN,63.08,32
IRON AND STEEL,CANADA,61.14,33
IRON AND STEEL,PORTUGAL,59.57,34
IRON AND STEEL,BHUTAN,55.09,35
IRON AND STEEL,KENYA,52.4,36
IRON AND STEEL,NIGERIA,52.11,37
IRON AND STEEL,PAKISTAN IR,51.9,38
IRON AND STEEL,EGYPT A RP,45.27,39
IRON AND STEEL,SINGAPORE,44.38,40
IRON AND STEEL,AUSTRALIA,38.24,41
IRON AND STEEL,KUWAIT,33.72,42
IRON AND STEEL,SOUTH AFRICA,32.87,43
IRON AND STEEL,COLOMBIA,31.04,44
IRON AND STEEL,ARGENTINA,29.6,45
IRON AND STEEL,FRANCE,28.81,46
IRON AND STEEL,ROMANIA,28.23,47
IRON AND STEEL,PARAGUAY,27.59,48
IRON AND STEEL,BAHARAIN IS,26.21,49
IRON AND STEEL,LATVIA,24.97,50
IRON AND STEEL,MYANMAR,23.95,51
IRON AND STEEL,ECUADOR,23.3,52
IRON AND STEEL,GREECE,21.46,53
IRON AND STEEL,GHANA,18.26,54
IRON AND STEEL,DENMARK,17.59,55
IRON AND STEEL,CHILE,17.49,56
IRON AND STEEL,UKRAINE,16.48,57
IRON AND STEEL,PERU,16.34,58
IRON AND STEEL,ISRAEL,14.94,59
IRON AND STEEL,IRELAND,14.34,60
IRON AND STEEL,SOMALIA,13.7,61
IRON AND STEEL,MALDIVES,13.48,62
IRON AND STEEL,SENEGAL,12.16,63
IRON AND STEEL,SLOVENIA,11.8,64
IRON AND STEEL,TANZANIA REP,11.76,65
IRON AND STEEL,SUDAN,10.92,66
IRON AND STEEL,NEW ZEALAND,10.83,67
IRON AND STEEL,SWEDEN,10.46,68
IRON AND STEEL,BULGARIA,10.06,69
IRON AND STEEL,TRINIDAD,9.52,70
IRON AND STEEL,FINLAND,9.51,71
IRON AND STEEL,MOROCCO,8.47,72
IRON AND STEEL,LIBYA,7.72,73
IRON AND STEEL,RWANDA,7.6,74
IRON AND STEEL,GUATEMALA,7.25,75
IRON AND STEEL,TUNISIA,6.96,76
IRON AND STEEL,JAMAICA,5.76,77
IRON AND STEEL,MAURITIUS,5.49,78
IRON AND STEEL,SWITZERLAND,5.32,79
IRON AND STEEL,NORWAY,4.98,80
IRON AND STEEL,URUGUAY,4.95,81
IRON AND STEEL,HONDURAS,4.57,82
IRON AND STEEL,ZAMBIA,4.54,83
IRON AND STEEL,ESTONIA,4.52,84
IRON AND STEEL,CAMEROON,4.05,85
IRON AND STEEL,COTE D' IVOIRE,3.99,86
IRON AND STEEL,LITHUANIA,3.91,87
IRON AND STEEL,DOMINIC REP,3.88,88
IRON AND STEEL,AUSTRIA,3.71,89
IRON AND STEEL,IRAQ,3.7,90
IRON AND STEEL,MADAGASCAR,3.67,91
IRON AND STEEL,GUINEA,3.64,92
IRON AND STEEL,JORDAN,3.42,93
IRON AND STEEL,UGANDA,3.01,94
IRON AND STEEL,CZECH REPUBLIC,2.91,95
IRON AND STEEL,ANGOLA,2.86,96
IRON AND STEEL,EL SALVADOR,2.79,97
IRON AND STEEL,GUYANA,2.74,98
IRON AND STEEL,ALGERIA,2.48,99
IRON AND STEEL,MOZAMBIQUE,2.39,100
IRON AND STEEL,LEBANON,2.37,101
IRON AND STEEL,BARBADOS,2.31,102
IRON AND STEEL,ICELAND,2.25,103
IRON AND STEEL,HUNGARY,2.17,104
IRON AND STEEL,BELIZE,2.02,105
IRON AND STEEL,CONGO D. REP.,1.91,106
IRON AND STEEL,LIBERIA,1.7,107
IRON AND STEEL,CYPRUS,1.68,108
IRON AND STEEL,SLOVAK REP,1.58,109
IRON AND STEEL,ZIMBABWE,1.57,110
IRON AND STEEL,SIERRA LEONE,1.53,111
IRON AND STEEL,MALAWI,1.44,112
IRON AND STEEL,COSTA RICA,1.36,113
IRON AND STEEL,CROATIA,1.22,114
IRON AND STEEL,GAMBIA,1.21,115
IRON AND STEEL,UZBEKISTAN,1.05,116
IRON AND STEEL,ST LUCIA,1.01,117
IRON AND STEEL,CONGO P REP,0.87,118
IRON AND STEEL,AFGHANISTAN TIS,0.84,119
IRON AND STEEL,BENIN,0.84,119
IRON AND STEEL,MALI,0.79,120
IRON AND STEEL,BURUNDI,0.72,121
IRON AND STEEL,YEMEN REPUBLC,0.72,121
IRON AND STEEL,GEORGIA,0.68,122
IRON AND STEEL,SURINAME,0.65,123
IRON AND STEEL,TOGO,0.64,124
IRON AND STEEL,GRENADA,0.63,125
IRON AND STEEL,COMOROS,0.62,126
IRON AND STEEL,SEYCHELLES,0.56,127
IRON AND STEEL,BOTSWANA,0.56,127
IRON AND STEEL,GABON,0.54,128
IRON AND STEEL,BELARUS,0.53,129
IRON AND STEEL,MONTENEGRO,0.51,130
IRON AND STEEL,ANTIGUA,0.5,131
IRON AND STEEL,NIGER,0.49,132
IRON AND STEEL,SERBIA,0.47,133
IRON AND STEEL,BURKINA FASO,0.33,134
IRON AND STEEL,EQUTL GUINEA,0.33,134
IRON AND STEEL,PANAMA REPUBLIC,0.31,135
IRON AND STEEL,CHAD,0.31,135
IRON AND STEEL,CUBA,0.24,136
IRON AND STEEL,VENEZUELA,0.23,137
IRON AND STEEL,PAPUA N GNA,0.22,138
IRON AND STEEL,GUINEA BISSAU,0.21,139
IRON AND STEEL,REUNION,0.18,140
IRON AND STEEL,KYRGHYZSTAN,0.15,141
IRON AND STEEL,CAMBODIA,0.15,141
IRON AND STEEL,BOLIVIA,0.14,142
IRON AND STEEL,TURKMENISTAN,0.13,143
IRON AND STEEL,FIJI IS,0.13,143
IRON AND STEEL,DOMINICA,0.11,144
IRON AND STEEL,LAO PD RP,0.1,145
IRON AND STEEL,HAITI,0.08,146
IRON AND STEEL,SYRIA,0.08,146
IRON AND STEEL,VIRGIN IS US,0.06,147
IRON AND STEEL,LUXEMBOURG,0.06,147
IRON AND STEEL,NETHERLANDANTIL,0.06,147
IRON AND STEEL,ARUBA,0.05,148
IRON AND STEEL,NICARAGUA,0.05,148
IRON AND STEEL,KOREA DP RP,0.04,149
IRON AND STEEL,PUERTO RICO,0.04,149
IRON AND STEEL,NEW CALEDONIA,0.04,149
IRON AND STEEL,MOLDOVA,0.03,150
IRON AND STEEL,NAMIBIA,0.03,150
IRON AND STEEL,ST VINCENT,0.02,151
IRON AND STEEL,BRUNEI,0.02,151
IRON AND STEEL,MAURITANIA,0.02,151
IRON AND STEEL,C AFRI REP,0.01,152
IRON AND STEEL,GUADELOUPE,0.01,152
IRON AND STEEL,AZERBAIJAN,0.0,153
IRON AND STEEL,ARMENIA,0.0,153
IRON AND STEEL,MACEDONIA,0.0,153
IRON AND STEEL,VANUATU REP,0.0,153
IRON AND STEEL,MONGOLIA,0.0,153
IRON AND STEEL,UNSPECIFIED,0.0,153
IRON AND STEEL,MALTA,0.0,153
IRON AND STEEL,MARSHALL ISLAND,0.0,153
IRON AND STEEL,KAZAKHSTAN,0.0,153
IRON AND STEEL,PALAU,0.0,153
IRON AND STEEL,ERITREA,,154
IRON AND STEEL,SWAZILAND,,154
IRON AND STEEL,N. MARIANA IS.,,154
IRON AND STEEL,NAURU RP,,154
IRON AND STEEL,SAHARWI A.DM RP,,154
IRON AND STEEL,MARTINIQUE,,154
