Commodity,country,Total_Value,rank
KNITTED OR CROCHETED FABRICS.,SRI LANKA DSR,173.66,1
KNITTED OR CROCHETED FABRICS.,U S A,86.75,2
KNITTED OR CROCHETED FABRICS.,BANGLADESH PR,71.76,3
KNITTED OR CROCHETED FABRICS.,ETHIOPIA,15.73,4
KNITTED OR CROCHETED FABRICS.,EL SALVADOR,13.32,5
KNITTED OR CROCHETED FABRICS.,EGYPT A RP,7.72,6
KNITTED OR CROCHETED FABRICS.,KOREA RP,6.51,7
KNITTED OR CROCHETED FABRICS.,VIETNAM SOC REP,5.79,8
KNITTED OR CROCHETED FABRICS.,NEPAL,5.58,9
KNITTED OR CROCHETED FABRICS.,U ARAB EMTS,5.14,10
KNITTED OR CROCHETED FABRICS.,CAMBODIA,4.02,11
KNITTED OR CROCHETED FABRICS.,MAURITIUS,3.86,12
KNITTED OR CROCHETED FABRICS.,THAILAND,3.45,13
KNITTED OR CROCHETED FABRICS.,U K,3.27,14
KNITTED OR CROCHETED FABRICS.,AFGHANISTAN TIS,3.21,15
KNITTED OR CROCHETED FABRICS.,MADAGASCAR,2.87,16
KNITTED OR CROCHETED FABRICS.,KENYA,2.58,17
KNITTED OR CROCHETED FABRICS.,MYANMAR,2.49,18
KNITTED OR CROCHETED FABRICS.,DOMINIC REP,2.2,19
KNITTED OR CROCHETED FABRICS.,CHINA P RP,2.09,20
KNITTED OR CROCHETED FABRICS.,PAKISTAN IR,1.66,21
KNITTED OR CROCHETED FABRICS.,INDONESIA,1.56,22
KNITTED OR CROCHETED FABRICS.,POLAND,1.09,23
KNITTED OR CROCHETED FABRICS.,GERMANY,1.01,24
KNITTED OR CROCHETED FABRICS.,SOUTH AFRICA,0.98,25
KNITTED OR CROCHETED FABRICS.,SAUDI ARAB,0.91,26
KNITTED OR CROCHETED FABRICS.,MALAYSIA,0.7,27
KNITTED OR CROCHETED FABRICS.,BRAZIL,0.65,28
KNITTED OR CROCHETED FABRICS.,IRAN,0.6,29
KNITTED OR CROCHETED FABRICS.,PERU,0.58,30
KNITTED OR CROCHETED FABRICS.,JORDAN,0.5,31
KNITTED OR CROCHETED FABRICS.,QATAR,0.5,31
KNITTED OR CROCHETED FABRICS.,KUWAIT,0.48,32
