Commodity,country,Total_Value,rank
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",U S A,466.59,1
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",CHINA P RP,104.7,2
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",GERMANY,50.46,3
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",RUSSIA,48.39,4
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",NORWAY,45.53,5
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",JAPAN,29.36,6
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",NETHERLAND,29.34,7
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ITALY,25.6,8
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",KOREA RP,24.73,9
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",U K,22.04,10
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ARGENTINA,19.11,11
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",FRANCE,17.73,12
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",AUSTRALIA,16.48,13
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",CANADA,11.21,14
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",U ARAB EMTS,10.78,15
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BRAZIL,8.95,16
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",INDONESIA,8.85,17
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",CHILE,8.83,18
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",PAKISTAN IR,7.78,19
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SPAIN,7.01,20
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",IRAN,6.04,21
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BELGIUM,5.63,22
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MEXICO,5.41,23
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",THAILAND,5.36,24
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MALAYSIA,5.1,25
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",DENMARK,4.57,26
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",TURKEY,4.57,26
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SOUTH AFRICA,4.52,27
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SWITZERLAND,4.31,28
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",EGYPT A RP,3.83,29
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",TAIWAN,3.75,30
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",POLAND,3.73,31
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",IRAQ,2.88,32
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",GREECE,2.29,33
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SINGAPORE,2.28,34
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BANGLADESH PR,2.23,35
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",VIETNAM SOC REP,1.93,36
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SAUDI ARAB,1.66,37
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",PHILIPPINES,1.43,38
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",OMAN,1.4,39
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",NEPAL,1.37,40
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",NEW ZEALAND,1.31,41
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ISRAEL,1.0,42
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",IRELAND,0.74,43
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",KENYA,0.72,44
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",UKRAINE,0.65,45
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MOROCCO,0.64,46
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",KOREA DP RP,0.64,46
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",KUWAIT,0.61,47
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SYRIA,0.6,48
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",COLOMBIA,0.59,49
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ALGERIA,0.57,50
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SWEDEN,0.57,50
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",HONG KONG,0.52,51
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SLOVENIA,0.47,52
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",HAITI,0.46,53
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",NIGERIA,0.45,54
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SRI LANKA DSR,0.45,54
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",KAZAKHSTAN,0.44,55
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MYANMAR,0.43,56
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",QATAR,0.4,57
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",HUNGARY,0.33,58
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",AUSTRIA,0.33,58
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ROMANIA,0.32,59
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",PERU,0.31,60
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",GUATEMALA,0.31,60
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",LEBANON,0.29,61
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",CZECH REPUBLIC,0.29,61
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",LITHUANIA,0.21,62
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",TANZANIA REP,0.21,62
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MONGOLIA,0.2,63
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BAHARAIN IS,0.2,63
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",YEMEN REPUBLC,0.19,64
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",URUGUAY,0.17,65
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",JORDAN,0.17,65
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MAURITANIA,0.17,65
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BURKINA FASO,0.16,66
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BULGARIA,0.15,67
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ZAMBIA,0.15,67
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",LATVIA,0.14,68
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SOMALIA,0.14,68
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ECUADOR,0.14,68
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BOLIVIA,0.13,69
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",TUNISIA,0.13,69
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MAURITIUS,0.11,70
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",PORTUGAL,0.11,70
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",MALI,0.09,71
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",CROATIA,0.09,71
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SENEGAL,0.08,72
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",ESTONIA,0.08,72
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",COSTA RICA,0.08,72
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",FINLAND,0.08,72
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BHUTAN,0.08,72
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",JAMAICA,0.07,73
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",PANAMA REPUBLIC,0.07,73
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",BELARUS,0.07,73
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",SWAZILAND,0.06,74
