Commodity,country,Total_Value,rank
LEAD AND ARTICLES THEREOF.,KOREA RP,158.82,1
LEAD AND ARTICLES THEREOF.,VIETNAM SOC REP,49.05,2
LEAD AND ARTICLES THEREOF.,THAILAND,40.54,3
LEAD AND ARTICLES THEREOF.,TURKEY,24.43,4
LEAD AND ARTICLES THEREOF.,U ARAB EMTS,21.84,5
LEAD AND ARTICLES THEREOF.,TAIWAN,20.84,6
LEAD AND ARTICLES THEREOF.,BANGLADESH PR,17.5,7
LEAD AND ARTICLES THEREOF.,U S A,13.97,8
LEAD AND ARTICLES THEREOF.,CHINA P RP,13.81,9
LEAD AND ARTICLES THEREOF.,INDONESIA,9.71,10
LEAD AND ARTICLES THEREOF.,OMAN,7.39,11
LEAD AND ARTICLES THEREOF.,PHILIPPINES,5.65,12
LEAD AND ARTICLES THEREOF.,JAPAN,4.48,13
LEAD AND ARTICLES THEREOF.,IRAN,2.31,14
LEAD AND ARTICLES THEREOF.,SAUDI ARAB,2.13,15
LEAD AND ARTICLES THEREOF.,NEPAL,2.01,16
LEAD AND ARTICLES THEREOF.,MALAYSIA,1.68,17
LEAD AND ARTICLES THEREOF.,U K,1.48,18
LEAD AND ARTICLES THEREOF.,QATAR,1.0,19
LEAD AND ARTICLES THEREOF.,SRI LANKA DSR,0.79,20
LEAD AND ARTICLES THEREOF.,BELGIUM,0.44,21
LEAD AND ARTICLES THEREOF.,EGYPT A RP,0.33,22
LEAD AND ARTICLES THEREOF.,SINGAPORE,0.32,23
LEAD AND ARTICLES THEREOF.,FRANCE,0.3,24
LEAD AND ARTICLES THEREOF.,ISRAEL,0.29,25
LEAD AND ARTICLES THEREOF.,NIGERIA,0.27,26
LEAD AND ARTICLES THEREOF.,PAKISTAN IR,0.26,27
LEAD AND ARTICLES THEREOF.,ETHIOPIA,0.23,28
LEAD AND ARTICLES THEREOF.,AUSTRALIA,0.22,29
LEAD AND ARTICLES THEREOF.,KENYA,0.15,30
LEAD AND ARTICLES THEREOF.,CHILE,0.13,31
LEAD AND ARTICLES THEREOF.,BULGARIA,0.12,32
LEAD AND ARTICLES THEREOF.,TANZANIA REP,0.11,33
LEAD AND ARTICLES THEREOF.,SOUTH AFRICA,0.07,34
LEAD AND ARTICLES THEREOF.,BHUTAN,0.04,35
LEAD AND ARTICLES THEREOF.,DJIBOUTI,0.03,36
LEAD AND ARTICLES THEREOF.,KUWAIT,0.02,37
LEAD AND ARTICLES THEREOF.,GHANA,0.01,38
LEAD AND ARTICLES THEREOF.,ANGOLA,0.01,38
LEAD AND ARTICLES THEREOF.,CONGO D. REP.,0.01,38
LEAD AND ARTICLES THEREOF.,GERMANY,0.01,38
LEAD AND ARTICLES THEREOF.,MALDIVES,0.01,38
LEAD AND ARTICLES THEREOF.,MAURITIUS,0.01,38
