Commodity,country,Total_Value,rank
MAN-MADE FILAMENTS.,TURKEY,296.26,1
MAN-MADE FILAMENTS.,BRAZIL,258.69,2
MAN-MADE FILAMENTS.,BANGLADESH PR,179.34,3
MAN-MADE FILAMENTS.,U S A,132.26,4
MAN-MADE FILAMENTS.,U ARAB EMTS,124.63,5
MAN-MADE FILAMENTS.,EGYPT A RP,60.8,6
MAN-MADE FILAMENTS.,SRI LANKA DSR,51.98,7
MAN-MADE FILAMENTS.,PAKISTAN IR,50.99,8
MAN-MADE FILAMENTS.,VIETNAM SOC REP,49.01,9
MAN-MADE FILAMENTS.,INDONESIA,48.54,10
MAN-MADE FILAMENTS.,AFGHANISTAN TIS,46.97,11
MAN-MADE FILAMENTS.,KOREA RP,46.89,12
MAN-MADE FILAMENTS.,THAILAND,45.98,13
MAN-MADE FILAMENTS.,U K,45.1,14
MAN-MADE FILAMENTS.,NEPAL,34.34,15
MAN-MADE FILAMENTS.,SAUDI ARAB,33.43,16
MAN-MADE FILAMENTS.,IRAN,33.42,17
MAN-MADE FILAMENTS.,MOROCCO,33.26,18
MAN-MADE FILAMENTS.,BELGIUM,32.86,19
MAN-MADE FILAMENTS.,MEXICO,32.75,20
MAN-MADE FILAMENTS.,MALAYSIA,31.28,21
MAN-MADE FILAMENTS.,PERU,29.53,22
MAN-MADE FILAMENTS.,CANADA,28.85,23
MAN-MADE FILAMENTS.,TOGO,28.82,24
MAN-MADE FILAMENTS.,CHINA P RP,24.83,25
MAN-MADE FILAMENTS.,SPAIN,24.17,26
MAN-MADE FILAMENTS.,ARGENTINA,21.77,27
MAN-MADE FILAMENTS.,COLOMBIA,20.92,28
MAN-MADE FILAMENTS.,GERMANY,19.94,29
MAN-MADE FILAMENTS.,NIGERIA,17.09,30
MAN-MADE FILAMENTS.,ITALY,16.67,31
MAN-MADE FILAMENTS.,PORTUGAL,16.61,32
MAN-MADE FILAMENTS.,KENYA,16.35,33
MAN-MADE FILAMENTS.,KUWAIT,13.52,34
MAN-MADE FILAMENTS.,AUSTRALIA,13.4,35
MAN-MADE FILAMENTS.,RUSSIA,12.95,36
MAN-MADE FILAMENTS.,POLAND,12.67,37
MAN-MADE FILAMENTS.,YEMEN REPUBLC,12.66,38
MAN-MADE FILAMENTS.,ALGERIA,11.49,39
MAN-MADE FILAMENTS.,SUDAN,11.43,40
MAN-MADE FILAMENTS.,CZECH REPUBLIC,11.22,41
MAN-MADE FILAMENTS.,SENEGAL,10.97,42
MAN-MADE FILAMENTS.,BURKINA FASO,10.57,43
MAN-MADE FILAMENTS.,JAPAN,9.92,44
MAN-MADE FILAMENTS.,CAMBODIA,9.26,45
MAN-MADE FILAMENTS.,SYRIA,8.89,46
MAN-MADE FILAMENTS.,BENIN,8.79,47
MAN-MADE FILAMENTS.,MAURITIUS,8.23,48
MAN-MADE FILAMENTS.,SOUTH AFRICA,7.47,49
MAN-MADE FILAMENTS.,NEW ZEALAND,7.26,50
MAN-MADE FILAMENTS.,SINGAPORE,6.93,51
MAN-MADE FILAMENTS.,NETHERLAND,6.35,52
MAN-MADE FILAMENTS.,JORDAN,5.88,53
MAN-MADE FILAMENTS.,ROMANIA,5.81,54
MAN-MADE FILAMENTS.,OMAN,5.81,54
MAN-MADE FILAMENTS.,TANZANIA REP,5.5,55
MAN-MADE FILAMENTS.,CONGO D. REP.,5.12,56
MAN-MADE FILAMENTS.,NIGER,5.05,57
MAN-MADE FILAMENTS.,TUNISIA,4.87,58
MAN-MADE FILAMENTS.,COTE D' IVOIRE,4.69,59
MAN-MADE FILAMENTS.,ECUADOR,4.65,60
MAN-MADE FILAMENTS.,ANGOLA,4.52,61
MAN-MADE FILAMENTS.,CHILE,4.42,62
MAN-MADE FILAMENTS.,GHANA,4.34,63
MAN-MADE FILAMENTS.,MOZAMBIQUE,4.25,64
MAN-MADE FILAMENTS.,FRANCE,3.89,65
MAN-MADE FILAMENTS.,ISRAEL,3.82,66
MAN-MADE FILAMENTS.,UKRAINE,3.66,67
MAN-MADE FILAMENTS.,MADAGASCAR,3.54,68
MAN-MADE FILAMENTS.,ETHIOPIA,3.52,69
MAN-MADE FILAMENTS.,QATAR,3.44,70
MAN-MADE FILAMENTS.,DJIBOUTI,3.33,71
MAN-MADE FILAMENTS.,SLOVENIA,3.3,72
MAN-MADE FILAMENTS.,IRAQ,3.24,73
MAN-MADE FILAMENTS.,PANAMA REPUBLIC,3.14,74
MAN-MADE FILAMENTS.,GUATEMALA,3.0,75
MAN-MADE FILAMENTS.,LITHUANIA,2.9,76
MAN-MADE FILAMENTS.,GAMBIA,2.77,77
MAN-MADE FILAMENTS.,FIJI IS,2.73,78
MAN-MADE FILAMENTS.,HONG KONG,2.69,79
MAN-MADE FILAMENTS.,MALI,2.39,80
MAN-MADE FILAMENTS.,CONGO P REP,2.27,81
MAN-MADE FILAMENTS.,TAIWAN,2.08,82
MAN-MADE FILAMENTS.,GREECE,2.07,83
MAN-MADE FILAMENTS.,PHILIPPINES,2.01,84
MAN-MADE FILAMENTS.,MYANMAR,2.0,85
MAN-MADE FILAMENTS.,HONDURAS,1.94,86
MAN-MADE FILAMENTS.,UGANDA,1.92,87
MAN-MADE FILAMENTS.,LATVIA,1.91,88
MAN-MADE FILAMENTS.,BAHARAIN IS,1.91,88
MAN-MADE FILAMENTS.,SOMALIA,1.7,89
MAN-MADE FILAMENTS.,CAMEROON,1.63,90
MAN-MADE FILAMENTS.,DENMARK,1.54,91
MAN-MADE FILAMENTS.,BULGARIA,1.4,92
MAN-MADE FILAMENTS.,CROATIA,1.27,93
MAN-MADE FILAMENTS.,EL SALVADOR,1.25,94
MAN-MADE FILAMENTS.,UNSPECIFIED,1.18,95
MAN-MADE FILAMENTS.,DOMINIC REP,1.17,96
MAN-MADE FILAMENTS.,ZAMBIA,1.14,97
MAN-MADE FILAMENTS.,LEBANON,1.11,98
MAN-MADE FILAMENTS.,PARAGUAY,1.05,99
MAN-MADE FILAMENTS.,ZIMBABWE,0.97,100
MAN-MADE FILAMENTS.,COSTA RICA,0.96,101
MAN-MADE FILAMENTS.,MAURITANIA,0.79,102
MAN-MADE FILAMENTS.,GUINEA,0.65,103
MAN-MADE FILAMENTS.,UZBEKISTAN,0.63,104
MAN-MADE FILAMENTS.,VENEZUELA,0.59,105
MAN-MADE FILAMENTS.,TRINIDAD,0.58,106
MAN-MADE FILAMENTS.,BHUTAN,0.56,107
MAN-MADE FILAMENTS.,SWITZERLAND,0.51,108
MAN-MADE FILAMENTS.,BRUNEI,0.51,108
MAN-MADE FILAMENTS.,CUBA,0.44,109
MAN-MADE FILAMENTS.,LIBYA,0.43,110
MAN-MADE FILAMENTS.,LAO PD RP,0.39,111
MAN-MADE FILAMENTS.,MALDIVES,0.39,111
MAN-MADE FILAMENTS.,MALAWI,0.37,112
MAN-MADE FILAMENTS.,KOREA DP RP,0.32,113
MAN-MADE FILAMENTS.,URUGUAY,0.31,114
MAN-MADE FILAMENTS.,BOLIVIA,0.3,115
MAN-MADE FILAMENTS.,BELARUS,0.29,116
MAN-MADE FILAMENTS.,IRELAND,0.29,116
MAN-MADE FILAMENTS.,HUNGARY,0.29,116
MAN-MADE FILAMENTS.,TAJIKISTAN,0.26,117
MAN-MADE FILAMENTS.,GUYANA,0.24,118
MAN-MADE FILAMENTS.,GABON,0.22,119
MAN-MADE FILAMENTS.,GEORGIA,0.2,120
MAN-MADE FILAMENTS.,AUSTRIA,0.18,121
MAN-MADE FILAMENTS.,HAITI,0.18,121
MAN-MADE FILAMENTS.,FINLAND,0.15,122
MAN-MADE FILAMENTS.,ESTONIA,0.15,122
MAN-MADE FILAMENTS.,PAPUA N GNA,0.15,122
MAN-MADE FILAMENTS.,SEYCHELLES,0.15,122
MAN-MADE FILAMENTS.,REUNION,0.13,123
MAN-MADE FILAMENTS.,JAMAICA,0.13,123
MAN-MADE FILAMENTS.,SURINAME,0.12,124
