Commodity,country,Total_Value,rank
MAN-MADE STAPLE FIBRES.,TURKEY,184.96,1
MAN-MADE STAPLE FIBRES.,BANGLADESH PR,167.0,2
MAN-MADE STAPLE FIBRES.,U S A,126.49,3
MAN-MADE STAPLE FIBRES.,EGYPT A RP,90.28,4
MAN-MADE STAPLE FIBRES.,IRAN,84.39,5
MAN-MADE STAPLE FIBRES.,CHINA P RP,65.33,6
MAN-MADE STAPLE FIBRES.,NEPAL,59.32,7
MAN-MADE STAPLE FIBRES.,BRAZIL,57.63,8
MAN-MADE STAPLE FIBRES.,U ARAB EMTS,53.77,9
MAN-MADE STAPLE FIBRES.,MEXICO,52.31,10
MAN-MADE STAPLE FIBRES.,ITALY,49.86,11
MAN-MADE STAPLE FIBRES.,VIETNAM SOC REP,47.74,12
MAN-MADE STAPLE FIBRES.,BELGIUM,47.36,13
MAN-MADE STAPLE FIBRES.,INDONESIA,41.55,14
MAN-MADE STAPLE FIBRES.,PAKISTAN IR,41.2,15
MAN-MADE STAPLE FIBRES.,AFGHANISTAN TIS,39.19,16
MAN-MADE STAPLE FIBRES.,SRI LANKA DSR,38.52,17
MAN-MADE STAPLE FIBRES.,PERU,37.3,18
MAN-MADE STAPLE FIBRES.,COLOMBIA,36.99,19
MAN-MADE STAPLE FIBRES.,PORTUGAL,33.0,20
MAN-MADE STAPLE FIBRES.,KOREA RP,31.49,21
MAN-MADE STAPLE FIBRES.,MOROCCO,31.22,22
MAN-MADE STAPLE FIBRES.,SPAIN,29.24,23
MAN-MADE STAPLE FIBRES.,GERMANY,28.98,24
MAN-MADE STAPLE FIBRES.,SOUTH AFRICA,28.55,25
MAN-MADE STAPLE FIBRES.,KENYA,27.36,26
MAN-MADE STAPLE FIBRES.,U K,27.34,27
MAN-MADE STAPLE FIBRES.,SAUDI ARAB,18.35,28
MAN-MADE STAPLE FIBRES.,CHILE,17.23,29
MAN-MADE STAPLE FIBRES.,RUSSIA,15.78,30
MAN-MADE STAPLE FIBRES.,ISRAEL,14.46,31
MAN-MADE STAPLE FIBRES.,PHILIPPINES,13.03,32
MAN-MADE STAPLE FIBRES.,ARGENTINA,12.32,33
MAN-MADE STAPLE FIBRES.,JAPAN,12.11,34
MAN-MADE STAPLE FIBRES.,CANADA,9.83,35
MAN-MADE STAPLE FIBRES.,ECUADOR,8.97,36
MAN-MADE STAPLE FIBRES.,ETHIOPIA,8.87,37
MAN-MADE STAPLE FIBRES.,THAILAND,8.81,38
MAN-MADE STAPLE FIBRES.,FRANCE,8.43,39
MAN-MADE STAPLE FIBRES.,YEMEN REPUBLC,8.37,40
MAN-MADE STAPLE FIBRES.,MYANMAR,8.26,41
MAN-MADE STAPLE FIBRES.,KUWAIT,8.18,42
MAN-MADE STAPLE FIBRES.,NIGERIA,8.13,43
MAN-MADE STAPLE FIBRES.,PANAMA REPUBLIC,7.7,44
MAN-MADE STAPLE FIBRES.,GUATEMALA,6.99,45
MAN-MADE STAPLE FIBRES.,TUNISIA,6.59,46
MAN-MADE STAPLE FIBRES.,TANZANIA REP,6.44,47
MAN-MADE STAPLE FIBRES.,MAURITIUS,6.3,48
MAN-MADE STAPLE FIBRES.,POLAND,6.16,49
MAN-MADE STAPLE FIBRES.,SYRIA,5.86,50
MAN-MADE STAPLE FIBRES.,AUSTRALIA,5.71,51
MAN-MADE STAPLE FIBRES.,DOMINIC REP,5.56,52
MAN-MADE STAPLE FIBRES.,CAMBODIA,5.16,53
MAN-MADE STAPLE FIBRES.,TOGO,4.84,54
MAN-MADE STAPLE FIBRES.,SUDAN,4.67,55
MAN-MADE STAPLE FIBRES.,MALAYSIA,4.64,56
MAN-MADE STAPLE FIBRES.,BENIN,4.52,57
MAN-MADE STAPLE FIBRES.,ALGERIA,4.38,58
MAN-MADE STAPLE FIBRES.,NETHERLAND,4.14,59
MAN-MADE STAPLE FIBRES.,JORDAN,3.85,60
MAN-MADE STAPLE FIBRES.,MADAGASCAR,3.71,61
MAN-MADE STAPLE FIBRES.,MOZAMBIQUE,3.42,62
MAN-MADE STAPLE FIBRES.,UGANDA,3.25,63
MAN-MADE STAPLE FIBRES.,HONG KONG,3.16,64
MAN-MADE STAPLE FIBRES.,OMAN,3.15,65
MAN-MADE STAPLE FIBRES.,EL SALVADOR,3.08,66
MAN-MADE STAPLE FIBRES.,BAHARAIN IS,2.74,67
MAN-MADE STAPLE FIBRES.,LEBANON,2.69,68
MAN-MADE STAPLE FIBRES.,ROMANIA,2.4,69
MAN-MADE STAPLE FIBRES.,FINLAND,2.32,70
MAN-MADE STAPLE FIBRES.,FIJI IS,2.21,71
MAN-MADE STAPLE FIBRES.,SOMALIA,1.95,72
MAN-MADE STAPLE FIBRES.,TAIWAN,1.82,73
MAN-MADE STAPLE FIBRES.,GHANA,1.79,74
MAN-MADE STAPLE FIBRES.,QATAR,1.57,75
MAN-MADE STAPLE FIBRES.,COTE D' IVOIRE,1.5,76
MAN-MADE STAPLE FIBRES.,SLOVENIA,1.48,77
MAN-MADE STAPLE FIBRES.,UKRAINE,1.45,78
MAN-MADE STAPLE FIBRES.,HONDURAS,1.37,79
MAN-MADE STAPLE FIBRES.,SINGAPORE,1.28,80
MAN-MADE STAPLE FIBRES.,BHUTAN,1.27,81
MAN-MADE STAPLE FIBRES.,CZECH REPUBLIC,1.23,82
MAN-MADE STAPLE FIBRES.,NIGER,1.2,83
MAN-MADE STAPLE FIBRES.,DENMARK,1.19,84
MAN-MADE STAPLE FIBRES.,GREECE,1.11,85
MAN-MADE STAPLE FIBRES.,BOLIVIA,1.04,86
MAN-MADE STAPLE FIBRES.,SENEGAL,1.03,87
MAN-MADE STAPLE FIBRES.,MAURITANIA,1.02,88
MAN-MADE STAPLE FIBRES.,HUNGARY,0.99,89
MAN-MADE STAPLE FIBRES.,ANGOLA,0.98,90
MAN-MADE STAPLE FIBRES.,MALI,0.96,91
MAN-MADE STAPLE FIBRES.,SWEDEN,0.94,92
MAN-MADE STAPLE FIBRES.,MALAWI,0.89,93
MAN-MADE STAPLE FIBRES.,RWANDA,0.8,94
