Commodity,country,Total_Value,rank
MISCELLANEOUS ARTICLES OF BASE METAL.,U S A,109.49,1
MISCELLANEOUS ARTICLES OF BASE METAL.,U K,94.72,2
MISCELLANEOUS ARTICLES OF BASE METAL.,GERMANY,35.67,3
MISCELLANEOUS ARTICLES OF BASE METAL.,U ARAB EMTS,34.53,4
MISCELLANEOUS ARTICLES OF BASE METAL.,NEPAL,27.87,5
MISCELLANEOUS ARTICLES OF BASE METAL.,SOUTH AFRICA,18.9,6
MISCELLANEOUS ARTICLES OF BASE METAL.,BRAZIL,13.76,7
MISCELLANEOUS ARTICLES OF BASE METAL.,THAILAND,13.7,8
MISCELLANEOUS ARTICLES OF BASE METAL.,SAUDI ARAB,13.53,9
MISCELLANEOUS ARTICLES OF BASE METAL.,BANGLADESH PR,12.67,10
MISCELLANEOUS ARTICLES OF BASE METAL.,NETHERLAND,12.44,11
MISCELLANEOUS ARTICLES OF BASE METAL.,ITALY,11.86,12
MISCELLANEOUS ARTICLES OF BASE METAL.,SRI LANKA DSR,10.97,13
MISCELLANEOUS ARTICLES OF BASE METAL.,AUSTRALIA,9.81,14
MISCELLANEOUS ARTICLES OF BASE METAL.,INDONESIA,9.65,15
MISCELLANEOUS ARTICLES OF BASE METAL.,SPAIN,9.58,16
MISCELLANEOUS ARTICLES OF BASE METAL.,KENYA,9.55,17
MISCELLANEOUS ARTICLES OF BASE METAL.,MALAYSIA,7.86,18
MISCELLANEOUS ARTICLES OF BASE METAL.,TURKEY,7.59,19
MISCELLANEOUS ARTICLES OF BASE METAL.,SWEDEN,7.28,20
MISCELLANEOUS ARTICLES OF BASE METAL.,NIGERIA,7.26,21
MISCELLANEOUS ARTICLES OF BASE METAL.,FRANCE,7.15,22
MISCELLANEOUS ARTICLES OF BASE METAL.,SINGAPORE,7.05,23
MISCELLANEOUS ARTICLES OF BASE METAL.,KOREA RP,6.89,24
MISCELLANEOUS ARTICLES OF BASE METAL.,POLAND,5.82,25
MISCELLANEOUS ARTICLES OF BASE METAL.,EGYPT A RP,5.8,26
MISCELLANEOUS ARTICLES OF BASE METAL.,MYANMAR,5.63,27
MISCELLANEOUS ARTICLES OF BASE METAL.,CANADA,5.53,28
MISCELLANEOUS ARTICLES OF BASE METAL.,CHINA P RP,5.07,29
MISCELLANEOUS ARTICLES OF BASE METAL.,MEXICO,5.0,30
MISCELLANEOUS ARTICLES OF BASE METAL.,ZAMBIA,4.54,31
MISCELLANEOUS ARTICLES OF BASE METAL.,BELGIUM,4.43,32
MISCELLANEOUS ARTICLES OF BASE METAL.,QATAR,4.37,33
MISCELLANEOUS ARTICLES OF BASE METAL.,ETHIOPIA,3.84,34
MISCELLANEOUS ARTICLES OF BASE METAL.,RUSSIA,3.83,35
MISCELLANEOUS ARTICLES OF BASE METAL.,KUWAIT,3.59,36
MISCELLANEOUS ARTICLES OF BASE METAL.,TANZANIA REP,3.52,37
MISCELLANEOUS ARTICLES OF BASE METAL.,DENMARK,3.51,38
MISCELLANEOUS ARTICLES OF BASE METAL.,OMAN,3.22,39
MISCELLANEOUS ARTICLES OF BASE METAL.,JAPAN,2.72,40
MISCELLANEOUS ARTICLES OF BASE METAL.,MADAGASCAR,2.65,41
MISCELLANEOUS ARTICLES OF BASE METAL.,BHUTAN,2.54,42
MISCELLANEOUS ARTICLES OF BASE METAL.,CZECH REPUBLIC,2.3,43
MISCELLANEOUS ARTICLES OF BASE METAL.,ROMANIA,2.28,44
MISCELLANEOUS ARTICLES OF BASE METAL.,BAHARAIN IS,2.02,45
MISCELLANEOUS ARTICLES OF BASE METAL.,UGANDA,1.99,46
MISCELLANEOUS ARTICLES OF BASE METAL.,CHILE,1.93,47
MISCELLANEOUS ARTICLES OF BASE METAL.,ARGENTINA,1.93,47
MISCELLANEOUS ARTICLES OF BASE METAL.,HONG KONG,1.9,48
MISCELLANEOUS ARTICLES OF BASE METAL.,PHILIPPINES,1.86,49
MISCELLANEOUS ARTICLES OF BASE METAL.,MOZAMBIQUE,1.81,50
MISCELLANEOUS ARTICLES OF BASE METAL.,IRAN,1.8,51
MISCELLANEOUS ARTICLES OF BASE METAL.,AUSTRIA,1.77,52
MISCELLANEOUS ARTICLES OF BASE METAL.,VIETNAM SOC REP,1.76,53
MISCELLANEOUS ARTICLES OF BASE METAL.,IRELAND,1.54,54
MISCELLANEOUS ARTICLES OF BASE METAL.,ISRAEL,1.51,55
MISCELLANEOUS ARTICLES OF BASE METAL.,ANGOLA,1.49,56
MISCELLANEOUS ARTICLES OF BASE METAL.,FINLAND,1.45,57
MISCELLANEOUS ARTICLES OF BASE METAL.,NEW ZEALAND,1.44,58
MISCELLANEOUS ARTICLES OF BASE METAL.,MAURITIUS,1.43,59
MISCELLANEOUS ARTICLES OF BASE METAL.,PAKISTAN IR,1.3,60
MISCELLANEOUS ARTICLES OF BASE METAL.,SUDAN,1.29,61
MISCELLANEOUS ARTICLES OF BASE METAL.,PORTUGAL,1.18,62
MISCELLANEOUS ARTICLES OF BASE METAL.,ESTONIA,1.16,63
MISCELLANEOUS ARTICLES OF BASE METAL.,AFGHANISTAN TIS,1.15,64
MISCELLANEOUS ARTICLES OF BASE METAL.,IRAQ,1.04,65
MISCELLANEOUS ARTICLES OF BASE METAL.,GHANA,1.04,65
MISCELLANEOUS ARTICLES OF BASE METAL.,NORWAY,0.98,66
MISCELLANEOUS ARTICLES OF BASE METAL.,MALAWI,0.92,67
MISCELLANEOUS ARTICLES OF BASE METAL.,JORDAN,0.92,67
MISCELLANEOUS ARTICLES OF BASE METAL.,TAIWAN,0.91,68
MISCELLANEOUS ARTICLES OF BASE METAL.,YEMEN REPUBLC,0.9,69
MISCELLANEOUS ARTICLES OF BASE METAL.,COLOMBIA,0.75,70
