Commodity,country,Total_Value,rank
MISCELLANEOUS CHEMICAL PRODUCTS.,U S A,807.72,1
MISCELLANEOUS CHEMICAL PRODUCTS.,BRAZIL,633.97,2
MISCELLANEOUS CHEMICAL PRODUCTS.,CHINA P RP,142.86,3
MISCELLANEOUS CHEMICAL PRODUCTS.,BANGLADESH PR,137.89,4
MISCELLANEOUS CHEMICAL PRODUCTS.,BELGIUM,134.61,5
MISCELLANEOUS CHEMICAL PRODUCTS.,FRANCE,129.64,6
MISCELLANEOUS CHEMICAL PRODUCTS.,GERMANY,118.99,7
MISCELLANEOUS CHEMICAL PRODUCTS.,VIETNAM SOC REP,112.66,8
MISCELLANEOUS CHEMICAL PRODUCTS.,JAPAN,109.29,9
MISCELLANEOUS CHEMICAL PRODUCTS.,NETHERLAND,106.92,10
MISCELLANEOUS CHEMICAL PRODUCTS.,INDONESIA,101.26,11
MISCELLANEOUS CHEMICAL PRODUCTS.,THAILAND,95.58,12
MISCELLANEOUS CHEMICAL PRODUCTS.,U K,86.21,13
MISCELLANEOUS CHEMICAL PRODUCTS.,IRAN,80.77,14
MISCELLANEOUS CHEMICAL PRODUCTS.,TURKEY,78.7,15
MISCELLANEOUS CHEMICAL PRODUCTS.,ARGENTINA,76.85,16
MISCELLANEOUS CHEMICAL PRODUCTS.,U ARAB EMTS,75.99,17
MISCELLANEOUS CHEMICAL PRODUCTS.,EGYPT A RP,70.12,18
MISCELLANEOUS CHEMICAL PRODUCTS.,SOUTH AFRICA,68.34,19
MISCELLANEOUS CHEMICAL PRODUCTS.,SAUDI ARAB,65.45,20
MISCELLANEOUS CHEMICAL PRODUCTS.,KOREA RP,63.17,21
MISCELLANEOUS CHEMICAL PRODUCTS.,AUSTRALIA,59.34,22
MISCELLANEOUS CHEMICAL PRODUCTS.,SRI LANKA DSR,58.61,23
MISCELLANEOUS CHEMICAL PRODUCTS.,MALAYSIA,57.91,24
MISCELLANEOUS CHEMICAL PRODUCTS.,MEXICO,56.11,25
MISCELLANEOUS CHEMICAL PRODUCTS.,ISRAEL,54.14,26
MISCELLANEOUS CHEMICAL PRODUCTS.,RUSSIA,53.61,27
MISCELLANEOUS CHEMICAL PRODUCTS.,PAKISTAN IR,50.29,28
MISCELLANEOUS CHEMICAL PRODUCTS.,NEPAL,49.31,29
MISCELLANEOUS CHEMICAL PRODUCTS.,SINGAPORE,47.83,30
MISCELLANEOUS CHEMICAL PRODUCTS.,NIGERIA,42.53,31
MISCELLANEOUS CHEMICAL PRODUCTS.,ITALY,39.37,32
MISCELLANEOUS CHEMICAL PRODUCTS.,COLOMBIA,34.38,33
MISCELLANEOUS CHEMICAL PRODUCTS.,SPAIN,31.19,34
MISCELLANEOUS CHEMICAL PRODUCTS.,TANZANIA REP,31.18,35
MISCELLANEOUS CHEMICAL PRODUCTS.,PHILIPPINES,30.22,36
MISCELLANEOUS CHEMICAL PRODUCTS.,KENYA,28.17,37
MISCELLANEOUS CHEMICAL PRODUCTS.,COSTA RICA,26.9,38
MISCELLANEOUS CHEMICAL PRODUCTS.,ETHIOPIA,26.35,39
MISCELLANEOUS CHEMICAL PRODUCTS.,TAIWAN,24.61,40
MISCELLANEOUS CHEMICAL PRODUCTS.,UGANDA,24.55,41
MISCELLANEOUS CHEMICAL PRODUCTS.,PARAGUAY,21.25,42
MISCELLANEOUS CHEMICAL PRODUCTS.,CANADA,20.94,43
MISCELLANEOUS CHEMICAL PRODUCTS.,SUDAN,18.96,44
MISCELLANEOUS CHEMICAL PRODUCTS.,OMAN,18.66,45
MISCELLANEOUS CHEMICAL PRODUCTS.,COTE D' IVOIRE,17.19,46
MISCELLANEOUS CHEMICAL PRODUCTS.,GHANA,16.76,47
MISCELLANEOUS CHEMICAL PRODUCTS.,MOROCCO,15.05,48
MISCELLANEOUS CHEMICAL PRODUCTS.,PUERTO RICO,12.38,49
MISCELLANEOUS CHEMICAL PRODUCTS.,PORTUGAL,12.35,50
MISCELLANEOUS CHEMICAL PRODUCTS.,POLAND,12.27,51
MISCELLANEOUS CHEMICAL PRODUCTS.,MYANMAR,11.43,52
MISCELLANEOUS CHEMICAL PRODUCTS.,UKRAINE,11.03,53
MISCELLANEOUS CHEMICAL PRODUCTS.,GUATEMALA,10.64,54
MISCELLANEOUS CHEMICAL PRODUCTS.,SLOVENIA,10.13,55
MISCELLANEOUS CHEMICAL PRODUCTS.,NEW ZEALAND,10.11,56
MISCELLANEOUS CHEMICAL PRODUCTS.,ECUADOR,10.03,57
MISCELLANEOUS CHEMICAL PRODUCTS.,SWITZERLAND,9.55,58
MISCELLANEOUS CHEMICAL PRODUCTS.,QATAR,9.39,59
MISCELLANEOUS CHEMICAL PRODUCTS.,URUGUAY,9.26,60
MISCELLANEOUS CHEMICAL PRODUCTS.,KUWAIT,9.06,61
MISCELLANEOUS CHEMICAL PRODUCTS.,PERU,8.85,62
MISCELLANEOUS CHEMICAL PRODUCTS.,MALI,8.77,63
MISCELLANEOUS CHEMICAL PRODUCTS.,HONG KONG,8.36,64
MISCELLANEOUS CHEMICAL PRODUCTS.,JORDAN,8.32,65
MISCELLANEOUS CHEMICAL PRODUCTS.,IRAQ,7.77,66
MISCELLANEOUS CHEMICAL PRODUCTS.,BOLIVIA,7.72,67
MISCELLANEOUS CHEMICAL PRODUCTS.,CAMEROON,7.69,68
MISCELLANEOUS CHEMICAL PRODUCTS.,CHILE,7.11,69
MISCELLANEOUS CHEMICAL PRODUCTS.,BHUTAN,7.09,70
MISCELLANEOUS CHEMICAL PRODUCTS.,GUINEA,6.12,71
MISCELLANEOUS CHEMICAL PRODUCTS.,LATVIA,6.09,72
MISCELLANEOUS CHEMICAL PRODUCTS.,SENEGAL,5.85,73
MISCELLANEOUS CHEMICAL PRODUCTS.,ZAMBIA,5.82,74
MISCELLANEOUS CHEMICAL PRODUCTS.,SWEDEN,5.6,75
MISCELLANEOUS CHEMICAL PRODUCTS.,ALGERIA,5.27,76
MISCELLANEOUS CHEMICAL PRODUCTS.,SLOVAK REP,5.13,77
MISCELLANEOUS CHEMICAL PRODUCTS.,RWANDA,4.77,78
MISCELLANEOUS CHEMICAL PRODUCTS.,LEBANON,4.58,79
MISCELLANEOUS CHEMICAL PRODUCTS.,ESTONIA,4.53,80
MISCELLANEOUS CHEMICAL PRODUCTS.,GREECE,4.49,81
MISCELLANEOUS CHEMICAL PRODUCTS.,ROMANIA,4.17,82
MISCELLANEOUS CHEMICAL PRODUCTS.,BAHARAIN IS,4.01,83
MISCELLANEOUS CHEMICAL PRODUCTS.,TOGO,4.01,83
MISCELLANEOUS CHEMICAL PRODUCTS.,CZECH REPUBLIC,3.93,84
MISCELLANEOUS CHEMICAL PRODUCTS.,MAURITIUS,3.51,85
MISCELLANEOUS CHEMICAL PRODUCTS.,MOZAMBIQUE,3.51,85
MISCELLANEOUS CHEMICAL PRODUCTS.,BULGARIA,3.43,86
MISCELLANEOUS CHEMICAL PRODUCTS.,MADAGASCAR,3.4,87
MISCELLANEOUS CHEMICAL PRODUCTS.,MALAWI,3.39,88
MISCELLANEOUS CHEMICAL PRODUCTS.,GEORGIA,3.09,89
MISCELLANEOUS CHEMICAL PRODUCTS.,TUNISIA,3.02,90
MISCELLANEOUS CHEMICAL PRODUCTS.,LITHUANIA,3.0,91
MISCELLANEOUS CHEMICAL PRODUCTS.,MALDIVES,2.99,92
MISCELLANEOUS CHEMICAL PRODUCTS.,LIBYA,2.97,93
MISCELLANEOUS CHEMICAL PRODUCTS.,DOMINIC REP,2.89,94
MISCELLANEOUS CHEMICAL PRODUCTS.,YEMEN REPUBLC,2.82,95
MISCELLANEOUS CHEMICAL PRODUCTS.,SYRIA,2.54,96
MISCELLANEOUS CHEMICAL PRODUCTS.,BURKINA FASO,2.49,97
MISCELLANEOUS CHEMICAL PRODUCTS.,UZBEKISTAN,2.36,98
MISCELLANEOUS CHEMICAL PRODUCTS.,HAITI,1.95,99
MISCELLANEOUS CHEMICAL PRODUCTS.,NICARAGUA,1.87,100
MISCELLANEOUS CHEMICAL PRODUCTS.,ZIMBABWE,1.84,101
MISCELLANEOUS CHEMICAL PRODUCTS.,DENMARK,1.73,102
MISCELLANEOUS CHEMICAL PRODUCTS.,ARMENIA,1.64,103
MISCELLANEOUS CHEMICAL PRODUCTS.,KAZAKHSTAN,1.6,104
MISCELLANEOUS CHEMICAL PRODUCTS.,IRELAND,1.51,105
MISCELLANEOUS CHEMICAL PRODUCTS.,AZERBAIJAN,1.5,106
MISCELLANEOUS CHEMICAL PRODUCTS.,CONGO D. REP.,1.46,107
MISCELLANEOUS CHEMICAL PRODUCTS.,DJIBOUTI,1.35,108
MISCELLANEOUS CHEMICAL PRODUCTS.,AFGHANISTAN TIS,1.31,109
MISCELLANEOUS CHEMICAL PRODUCTS.,GABON,1.29,110
MISCELLANEOUS CHEMICAL PRODUCTS.,SERBIA,1.27,111
MISCELLANEOUS CHEMICAL PRODUCTS.,PANAMA REPUBLIC,1.25,112
MISCELLANEOUS CHEMICAL PRODUCTS.,VENEZUELA,1.2,113
MISCELLANEOUS CHEMICAL PRODUCTS.,CROATIA,1.17,114
MISCELLANEOUS CHEMICAL PRODUCTS.,HONDURAS,1.14,115
MISCELLANEOUS CHEMICAL PRODUCTS.,CONGO P REP,1.06,116
MISCELLANEOUS CHEMICAL PRODUCTS.,AUSTRIA,1.02,117
MISCELLANEOUS CHEMICAL PRODUCTS.,PAPUA N GNA,1.01,118
MISCELLANEOUS CHEMICAL PRODUCTS.,MAURITANIA,1.0,119
MISCELLANEOUS CHEMICAL PRODUCTS.,CUBA,0.88,120
MISCELLANEOUS CHEMICAL PRODUCTS.,FINLAND,0.88,120
MISCELLANEOUS CHEMICAL PRODUCTS.,TRINIDAD,0.83,121
MISCELLANEOUS CHEMICAL PRODUCTS.,EL SALVADOR,0.82,122
MISCELLANEOUS CHEMICAL PRODUCTS.,CYPRUS,0.81,123
MISCELLANEOUS CHEMICAL PRODUCTS.,SOMALIA,0.8,124
MISCELLANEOUS CHEMICAL PRODUCTS.,ANGOLA,0.77,125
MISCELLANEOUS CHEMICAL PRODUCTS.,BELARUS,0.76,126
MISCELLANEOUS CHEMICAL PRODUCTS.,CAMBODIA,0.66,127
MISCELLANEOUS CHEMICAL PRODUCTS.,BENIN,0.64,128
MISCELLANEOUS CHEMICAL PRODUCTS.,BRUNEI,0.64,128
MISCELLANEOUS CHEMICAL PRODUCTS.,FIJI IS,0.59,129
MISCELLANEOUS CHEMICAL PRODUCTS.,MOLDOVA,0.47,130
MISCELLANEOUS CHEMICAL PRODUCTS.,HUNGARY,0.44,131
MISCELLANEOUS CHEMICAL PRODUCTS.,LIBERIA,0.4,132
MISCELLANEOUS CHEMICAL PRODUCTS.,GUYANA,0.36,133
MISCELLANEOUS CHEMICAL PRODUCTS.,BURUNDI,0.35,134
MISCELLANEOUS CHEMICAL PRODUCTS.,JAMAICA,0.34,135
MISCELLANEOUS CHEMICAL PRODUCTS.,SURINAME,0.31,136
MISCELLANEOUS CHEMICAL PRODUCTS.,SIERRA LEONE,0.3,137
MISCELLANEOUS CHEMICAL PRODUCTS.,TURKMENISTAN,0.3,137
MISCELLANEOUS CHEMICAL PRODUCTS.,SEYCHELLES,0.27,138
MISCELLANEOUS CHEMICAL PRODUCTS.,BARBADOS,0.23,139
MISCELLANEOUS CHEMICAL PRODUCTS.,ALBANIA,0.22,140
MISCELLANEOUS CHEMICAL PRODUCTS.,GAMBIA,0.22,140
MISCELLANEOUS CHEMICAL PRODUCTS.,MACEDONIA,0.21,141
MISCELLANEOUS CHEMICAL PRODUCTS.,FR GUIANA,0.14,142
MISCELLANEOUS CHEMICAL PRODUCTS.,BELIZE,0.14,142
