Commodity,country,Total_Value,rank
MISCELLANEOUS EDIBLE PREPARATIONS.,U S A,159.29,1
MISCELLANEOUS EDIBLE PREPARATIONS.,U ARAB EMTS,55.83,2
MISCELLANEOUS EDIBLE PREPARATIONS.,RUSSIA,48.94,3
MISCELLANEOUS EDIBLE PREPARATIONS.,NEPAL,34.37,4
MISCELLANEOUS EDIBLE PREPARATIONS.,TURKEY,32.07,5
MISCELLANEOUS EDIBLE PREPARATIONS.,AUSTRALIA,27.0,6
MISCELLANEOUS EDIBLE PREPARATIONS.,U K,24.59,7
MISCELLANEOUS EDIBLE PREPARATIONS.,POLAND,24.06,8
MISCELLANEOUS EDIBLE PREPARATIONS.,MALAYSIA,23.0,9
MISCELLANEOUS EDIBLE PREPARATIONS.,INDONESIA,21.95,10
MISCELLANEOUS EDIBLE PREPARATIONS.,CANADA,18.63,11
MISCELLANEOUS EDIBLE PREPARATIONS.,BANGLADESH PR,16.66,12
MISCELLANEOUS EDIBLE PREPARATIONS.,SINGAPORE,16.28,13
MISCELLANEOUS EDIBLE PREPARATIONS.,SAUDI ARAB,14.67,14
MISCELLANEOUS EDIBLE PREPARATIONS.,UKRAINE,11.78,15
MISCELLANEOUS EDIBLE PREPARATIONS.,IRELAND,10.35,16
MISCELLANEOUS EDIBLE PREPARATIONS.,THAILAND,9.5,17
MISCELLANEOUS EDIBLE PREPARATIONS.,VIETNAM SOC REP,9.31,18
MISCELLANEOUS EDIBLE PREPARATIONS.,QATAR,9.16,19
MISCELLANEOUS EDIBLE PREPARATIONS.,JAPAN,9.08,20
MISCELLANEOUS EDIBLE PREPARATIONS.,SOUTH AFRICA,7.36,21
MISCELLANEOUS EDIBLE PREPARATIONS.,KOREA RP,6.97,22
MISCELLANEOUS EDIBLE PREPARATIONS.,PHILIPPINES,6.91,23
MISCELLANEOUS EDIBLE PREPARATIONS.,SRI LANKA DSR,6.43,24
MISCELLANEOUS EDIBLE PREPARATIONS.,NEW ZEALAND,6.03,25
MISCELLANEOUS EDIBLE PREPARATIONS.,FRANCE,5.72,26
MISCELLANEOUS EDIBLE PREPARATIONS.,TAIWAN,5.48,27
MISCELLANEOUS EDIBLE PREPARATIONS.,NIGERIA,5.47,28
MISCELLANEOUS EDIBLE PREPARATIONS.,OMAN,5.4,29
MISCELLANEOUS EDIBLE PREPARATIONS.,SENEGAL,5.4,29
MISCELLANEOUS EDIBLE PREPARATIONS.,GERMANY,5.11,30
MISCELLANEOUS EDIBLE PREPARATIONS.,NETHERLAND,5.09,31
MISCELLANEOUS EDIBLE PREPARATIONS.,ROMANIA,5.07,32
MISCELLANEOUS EDIBLE PREPARATIONS.,FINLAND,5.02,33
MISCELLANEOUS EDIBLE PREPARATIONS.,CHINA P RP,4.64,34
MISCELLANEOUS EDIBLE PREPARATIONS.,GHANA,4.35,35
MISCELLANEOUS EDIBLE PREPARATIONS.,TOGO,4.29,36
MISCELLANEOUS EDIBLE PREPARATIONS.,SPAIN,4.2,37
MISCELLANEOUS EDIBLE PREPARATIONS.,KUWAIT,4.04,38
MISCELLANEOUS EDIBLE PREPARATIONS.,BHUTAN,3.87,39
MISCELLANEOUS EDIBLE PREPARATIONS.,NIGER,3.63,40
MISCELLANEOUS EDIBLE PREPARATIONS.,ITALY,3.51,41
MISCELLANEOUS EDIBLE PREPARATIONS.,HONG KONG,3.51,41
MISCELLANEOUS EDIBLE PREPARATIONS.,IRAN,3.22,42
MISCELLANEOUS EDIBLE PREPARATIONS.,ISRAEL,3.22,42
MISCELLANEOUS EDIBLE PREPARATIONS.,JORDAN,3.08,43
MISCELLANEOUS EDIBLE PREPARATIONS.,AFGHANISTAN TIS,3.08,43
MISCELLANEOUS EDIBLE PREPARATIONS.,KENYA,2.84,44
MISCELLANEOUS EDIBLE PREPARATIONS.,PAKISTAN IR,2.75,45
MISCELLANEOUS EDIBLE PREPARATIONS.,MYANMAR,2.6,46
MISCELLANEOUS EDIBLE PREPARATIONS.,MAURITANIA,2.32,47
MISCELLANEOUS EDIBLE PREPARATIONS.,COTE D' IVOIRE,2.26,48
MISCELLANEOUS EDIBLE PREPARATIONS.,BELGIUM,2.26,48
MISCELLANEOUS EDIBLE PREPARATIONS.,BENIN,2.08,49
MISCELLANEOUS EDIBLE PREPARATIONS.,BAHARAIN IS,1.98,50
MISCELLANEOUS EDIBLE PREPARATIONS.,IRAQ,1.94,51
MISCELLANEOUS EDIBLE PREPARATIONS.,UZBEKISTAN,1.94,51
MISCELLANEOUS EDIBLE PREPARATIONS.,MALI,1.89,52
MISCELLANEOUS EDIBLE PREPARATIONS.,EGYPT A RP,1.87,53
MISCELLANEOUS EDIBLE PREPARATIONS.,LITHUANIA,1.86,54
MISCELLANEOUS EDIBLE PREPARATIONS.,LATVIA,1.62,55
MISCELLANEOUS EDIBLE PREPARATIONS.,SYRIA,1.49,56
MISCELLANEOUS EDIBLE PREPARATIONS.,MAURITIUS,1.3,57
MISCELLANEOUS EDIBLE PREPARATIONS.,DENMARK,1.3,57
MISCELLANEOUS EDIBLE PREPARATIONS.,GEORGIA,1.29,58
MISCELLANEOUS EDIBLE PREPARATIONS.,GAMBIA,1.21,59
MISCELLANEOUS EDIBLE PREPARATIONS.,GUINEA,1.17,60
MISCELLANEOUS EDIBLE PREPARATIONS.,CAMEROON,1.14,61
MISCELLANEOUS EDIBLE PREPARATIONS.,SOMALIA,0.94,62
MISCELLANEOUS EDIBLE PREPARATIONS.,CONGO D. REP.,0.92,63
