Commodity,country,Total_Value,rank
MISCELLANEOUS MANUFACTURED ARTICLES.,U S A,116.93,1
MISCELLANEOUS MANUFACTURED ARTICLES.,GERMANY,41.46,2
MISCELLANEOUS MANUFACTURED ARTICLES.,BANGLADESH PR,38.56,3
MISCELLANEOUS MANUFACTURED ARTICLES.,U ARAB EMTS,30.66,4
MISCELLANEOUS MANUFACTURED ARTICLES.,NEPAL,29.88,5
MISCELLANEOUS MANUFACTURED ARTICLES.,NETHERLAND,17.44,6
MISCELLANEOUS MANUFACTURED ARTICLES.,BRAZIL,16.88,7
MISCELLANEOUS MANUFACTURED ARTICLES.,THAILAND,15.72,8
MISCELLANEOUS MANUFACTURED ARTICLES.,INDONESIA,14.35,9
MISCELLANEOUS MANUFACTURED ARTICLES.,U K,13.61,10
MISCELLANEOUS MANUFACTURED ARTICLES.,KOREA RP,10.46,11
MISCELLANEOUS MANUFACTURED ARTICLES.,ITALY,10.43,12
MISCELLANEOUS MANUFACTURED ARTICLES.,SPAIN,10.23,13
MISCELLANEOUS MANUFACTURED ARTICLES.,SRI LANKA DSR,10.1,14
MISCELLANEOUS MANUFACTURED ARTICLES.,AUSTRALIA,10.06,15
MISCELLANEOUS MANUFACTURED ARTICLES.,PAKISTAN IR,10.05,16
MISCELLANEOUS MANUFACTURED ARTICLES.,ALGERIA,8.61,17
MISCELLANEOUS MANUFACTURED ARTICLES.,CHINA P RP,8.54,18
MISCELLANEOUS MANUFACTURED ARTICLES.,MEXICO,8.28,19
MISCELLANEOUS MANUFACTURED ARTICLES.,VIETNAM SOC REP,8.25,20
MISCELLANEOUS MANUFACTURED ARTICLES.,RUSSIA,7.64,21
MISCELLANEOUS MANUFACTURED ARTICLES.,SAUDI ARAB,7.22,22
MISCELLANEOUS MANUFACTURED ARTICLES.,KENYA,6.65,23
MISCELLANEOUS MANUFACTURED ARTICLES.,MYANMAR,6.42,24
MISCELLANEOUS MANUFACTURED ARTICLES.,NIGERIA,6.14,25
MISCELLANEOUS MANUFACTURED ARTICLES.,EGYPT A RP,5.98,26
MISCELLANEOUS MANUFACTURED ARTICLES.,JORDAN,5.96,27
MISCELLANEOUS MANUFACTURED ARTICLES.,LATVIA,5.42,28
MISCELLANEOUS MANUFACTURED ARTICLES.,BELGIUM,5.41,29
MISCELLANEOUS MANUFACTURED ARTICLES.,IRAQ,5.36,30
MISCELLANEOUS MANUFACTURED ARTICLES.,FRANCE,5.31,31
MISCELLANEOUS MANUFACTURED ARTICLES.,HONG KONG,5.25,32
MISCELLANEOUS MANUFACTURED ARTICLES.,SOUTH AFRICA,5.2,33
