Commodity,country,Total_Value,rank
NICKEL AND ARTICLES THEREOF.,U S A,9.1,1
NICKEL AND ARTICLES THEREOF.,KOREA RP,7.17,2
NICKEL AND ARTICLES THEREOF.,SAUDI ARAB,6.99,3
NICKEL AND ARTICLES THEREOF.,U K,6.54,4
NICKEL AND ARTICLES THEREOF.,CHINA P RP,4.24,5
NICKEL AND ARTICLES THEREOF.,MEXICO,4.12,6
NICKEL AND ARTICLES THEREOF.,NETHERLAND,3.27,7
NICKEL AND ARTICLES THEREOF.,THAILAND,2.82,8
NICKEL AND ARTICLES THEREOF.,U ARAB EMTS,1.97,9
NICKEL AND ARTICLES THEREOF.,TAIWAN,1.78,10
NICKEL AND ARTICLES THEREOF.,JAPAN,1.53,11
NICKEL AND ARTICLES THEREOF.,ITALY,1.45,12
NICKEL AND ARTICLES THEREOF.,TURKEY,1.31,13
NICKEL AND ARTICLES THEREOF.,FRANCE,1.21,14
NICKEL AND ARTICLES THEREOF.,GERMANY,1.15,15
NICKEL AND ARTICLES THEREOF.,INDONESIA,1.08,16
NICKEL AND ARTICLES THEREOF.,BRAZIL,1.03,17
NICKEL AND ARTICLES THEREOF.,VIETNAM SOC REP,0.97,18
NICKEL AND ARTICLES THEREOF.,PHILIPPINES,0.8,19
NICKEL AND ARTICLES THEREOF.,SWEDEN,0.6,20
NICKEL AND ARTICLES THEREOF.,QATAR,0.6,20
NICKEL AND ARTICLES THEREOF.,MALAYSIA,0.51,21
NICKEL AND ARTICLES THEREOF.,SOUTH AFRICA,0.46,22
NICKEL AND ARTICLES THEREOF.,RUSSIA,0.46,22
NICKEL AND ARTICLES THEREOF.,SINGAPORE,0.44,23
NICKEL AND ARTICLES THEREOF.,HUNGARY,0.44,23
NICKEL AND ARTICLES THEREOF.,COLOMBIA,0.39,24
NICKEL AND ARTICLES THEREOF.,IRAN,0.34,25
NICKEL AND ARTICLES THEREOF.,ISRAEL,0.25,26
NICKEL AND ARTICLES THEREOF.,PAKISTAN IR,0.25,26
NICKEL AND ARTICLES THEREOF.,BAHARAIN IS,0.24,27
NICKEL AND ARTICLES THEREOF.,OMAN,0.22,28
NICKEL AND ARTICLES THEREOF.,PERU,0.21,29
NICKEL AND ARTICLES THEREOF.,KENYA,0.2,30
NICKEL AND ARTICLES THEREOF.,CZECH REPUBLIC,0.2,30
NICKEL AND ARTICLES THEREOF.,EGYPT A RP,0.19,31
NICKEL AND ARTICLES THEREOF.,KUWAIT,0.16,32
NICKEL AND ARTICLES THEREOF.,CANADA,0.15,33
NICKEL AND ARTICLES THEREOF.,POLAND,0.14,34
NICKEL AND ARTICLES THEREOF.,BELARUS,0.13,35
NICKEL AND ARTICLES THEREOF.,SPAIN,0.13,35
NICKEL AND ARTICLES THEREOF.,CHILE,0.11,36
NICKEL AND ARTICLES THEREOF.,JORDAN,0.1,37
NICKEL AND ARTICLES THEREOF.,NEPAL,0.1,37
NICKEL AND ARTICLES THEREOF.,NORWAY,0.08,38
NICKEL AND ARTICLES THEREOF.,BANGLADESH PR,0.08,38
NICKEL AND ARTICLES THEREOF.,UGANDA,0.07,39
NICKEL AND ARTICLES THEREOF.,AUSTRALIA,0.07,39
NICKEL AND ARTICLES THEREOF.,KAZAKHSTAN,0.07,39
NICKEL AND ARTICLES THEREOF.,TUNISIA,0.05,40
NICKEL AND ARTICLES THEREOF.,GUATEMALA,0.04,41
NICKEL AND ARTICLES THEREOF.,FINLAND,0.04,41
NICKEL AND ARTICLES THEREOF.,BELIZE,0.04,41
NICKEL AND ARTICLES THEREOF.,BELGIUM,0.03,42
NICKEL AND ARTICLES THEREOF.,SWITZERLAND,0.03,42
NICKEL AND ARTICLES THEREOF.,EL SALVADOR,0.03,42
NICKEL AND ARTICLES THEREOF.,ARGENTINA,0.03,42
NICKEL AND ARTICLES THEREOF.,HONDURAS,0.03,42
NICKEL AND ARTICLES THEREOF.,NIGERIA,0.03,42
NICKEL AND ARTICLES THEREOF.,PANAMA REPUBLIC,0.02,43
NICKEL AND ARTICLES THEREOF.,IRAQ,0.02,43
NICKEL AND ARTICLES THEREOF.,TANZANIA REP,0.02,43
NICKEL AND ARTICLES THEREOF.,KYRGHYZSTAN,0.02,43
NICKEL AND ARTICLES THEREOF.,SRI LANKA DSR,0.02,43
NICKEL AND ARTICLES THEREOF.,DJIBOUTI,0.01,44
NICKEL AND ARTICLES THEREOF.,ALGERIA,0.01,44
NICKEL AND ARTICLES THEREOF.,LIBYA,0.01,44
NICKEL AND ARTICLES THEREOF.,MYANMAR,0.01,44
NICKEL AND ARTICLES THEREOF.,MALTA,0.01,44
NICKEL AND ARTICLES THEREOF.,SERBIA,0.01,44
NICKEL AND ARTICLES THEREOF.,FIJI IS,0.01,44
NICKEL AND ARTICLES THEREOF.,MOZAMBIQUE,0.01,44
NICKEL AND ARTICLES THEREOF.,BHUTAN,0.01,44
NICKEL AND ARTICLES THEREOF.,ZAMBIA,0.01,44
NICKEL AND ARTICLES THEREOF.,GUINEA,0.01,44
NICKEL AND ARTICLES THEREOF.,SLOVENIA,0.01,44
NICKEL AND ARTICLES THEREOF.,ROMANIA,0.0,45
NICKEL AND ARTICLES THEREOF.,CAMBODIA,0.0,45
NICKEL AND ARTICLES THEREOF.,LEBANON,0.0,45
NICKEL AND ARTICLES THEREOF.,DENMARK,0.0,45
NICKEL AND ARTICLES THEREOF.,NEW ZEALAND,0.0,45
NICKEL AND ARTICLES THEREOF.,MALAWI,0.0,45
NICKEL AND ARTICLES THEREOF.,SENEGAL,0.0,45
NICKEL AND ARTICLES THEREOF.,HONG KONG,0.0,45
NICKEL AND ARTICLES THEREOF.,CONGO D. REP.,0.0,45
NICKEL AND ARTICLES THEREOF.,SUDAN,0.0,45
NICKEL AND ARTICLES THEREOF.,UKRAINE,0.0,45
NICKEL AND ARTICLES THEREOF.,GUYANA,0.0,45
NICKEL AND ARTICLES THEREOF.,BOTSWANA,0.0,45
NICKEL AND ARTICLES THEREOF.,GHANA,0.0,45
NICKEL AND ARTICLES THEREOF.,BOLIVIA,0.0,45
NICKEL AND ARTICLES THEREOF.,VENEZUELA,0.0,45
NICKEL AND ARTICLES THEREOF.,AZERBAIJAN,0.0,45
NICKEL AND ARTICLES THEREOF.,ANGOLA,0.0,45
NICKEL AND ARTICLES THEREOF.,MAURITIUS,0.0,45
NICKEL AND ARTICLES THEREOF.,PARAGUAY,0.0,45
NICKEL AND ARTICLES THEREOF.,MACEDONIA,0.0,45
NICKEL AND ARTICLES THEREOF.,PORTUGAL,0.0,45
NICKEL AND ARTICLES THEREOF.,COSTA RICA,0.0,45
NICKEL AND ARTICLES THEREOF.,COTE D' IVOIRE,0.0,45
NICKEL AND ARTICLES THEREOF.,LITHUANIA,0.0,45
NICKEL AND ARTICLES THEREOF.,ZIMBABWE,0.0,45
NICKEL AND ARTICLES THEREOF.,CROATIA,,46
NICKEL AND ARTICLES THEREOF.,IRELAND,,46
NICKEL AND ARTICLES THEREOF.,NICARAGUA,,46
NICKEL AND ARTICLES THEREOF.,ETHIOPIA,,46
NICKEL AND ARTICLES THEREOF.,MOLDOVA,,46
NICKEL AND ARTICLES THEREOF.,BULGARIA,,46
NICKEL AND ARTICLES THEREOF.,JAMAICA,,46
NICKEL AND ARTICLES THEREOF.,GREECE,,46
NICKEL AND ARTICLES THEREOF.,BRUNEI,,46
NICKEL AND ARTICLES THEREOF.,KOREA DP RP,,46
NICKEL AND ARTICLES THEREOF.,YEMEN REPUBLC,,46
NICKEL AND ARTICLES THEREOF.,ECUADOR,,46
NICKEL AND ARTICLES THEREOF.,AUSTRIA,,46
NICKEL AND ARTICLES THEREOF.,TRINIDAD,,46
NICKEL AND ARTICLES THEREOF.,ST VINCENT,,46
