Commodity,country,Total_Value,rank
"ORES, SLAG AND ASH.",CHINA P RP,1220.22,1
"ORES, SLAG AND ASH.",JAPAN,136.48,2
"ORES, SLAG AND ASH.",KOREA RP,130.4,3
"ORES, SLAG AND ASH.",U K,40.91,4
"ORES, SLAG AND ASH.",NEPAL,34.58,5
"ORES, SLAG AND ASH.",BANGLADESH PR,32.97,6
"ORES, SLAG AND ASH.",MALAYSIA,30.18,7
"ORES, SLAG AND ASH.",OMAN,25.79,8
"ORES, SLAG AND ASH.",TAIWAN,21.73,9
"ORES, SLAG AND ASH.",U ARAB EMTS,19.87,10
"ORES, SLAG AND ASH.",VIETNAM SOC REP,17.04,11
"ORES, SLAG AND ASH.",KOREA DP RP,12.31,12
"ORES, SLAG AND ASH.",INDONESIA,12.23,13
"ORES, SLAG AND ASH.",SOUTH AFRICA,11.45,14
"ORES, SLAG AND ASH.",NETHERLAND,10.2,15
"ORES, SLAG AND ASH.",GERMANY,9.39,16
"ORES, SLAG AND ASH.",BELGIUM,8.08,17
"ORES, SLAG AND ASH.",POLAND,7.67,18
"ORES, SLAG AND ASH.",TURKEY,6.9,19
"ORES, SLAG AND ASH.",MEXICO,6.37,20
"ORES, SLAG AND ASH.",KUWAIT,5.68,21
"ORES, SLAG AND ASH.",CHILE,5.1,22
"ORES, SLAG AND ASH.",SAUDI ARAB,4.37,23
"ORES, SLAG AND ASH.",QATAR,3.58,24
"ORES, SLAG AND ASH.",KENYA,2.92,25
"ORES, SLAG AND ASH.",PHILIPPINES,2.57,26
"ORES, SLAG AND ASH.",AUSTRALIA,2.46,27
"ORES, SLAG AND ASH.",BHUTAN,2.25,28
"ORES, SLAG AND ASH.",U S A,1.92,29
"ORES, SLAG AND ASH.",BRUNEI,1.88,30
"ORES, SLAG AND ASH.",SLOVENIA,1.82,31
"ORES, SLAG AND ASH.",BAHARAIN IS,1.79,32
"ORES, SLAG AND ASH.",ITALY,1.5,33
"ORES, SLAG AND ASH.",EGYPT A RP,0.87,34
"ORES, SLAG AND ASH.",SPAIN,0.85,35
"ORES, SLAG AND ASH.",FRANCE,0.58,36
"ORES, SLAG AND ASH.",GHANA,0.55,37
"ORES, SLAG AND ASH.",CUBA,0.41,38
"ORES, SLAG AND ASH.",IRAN,0.41,38
"ORES, SLAG AND ASH.",NEW ZEALAND,0.38,39
"ORES, SLAG AND ASH.",SRI LANKA DSR,0.36,40
"ORES, SLAG AND ASH.",SWEDEN,0.35,41
"ORES, SLAG AND ASH.",IRAQ,0.29,42
"ORES, SLAG AND ASH.",ARGENTINA,0.22,43
"ORES, SLAG AND ASH.",MADAGASCAR,0.21,44
"ORES, SLAG AND ASH.",UGANDA,0.18,45
"ORES, SLAG AND ASH.",THAILAND,0.17,46
"ORES, SLAG AND ASH.",TANZANIA REP,0.09,47
"ORES, SLAG AND ASH.",NIGERIA,0.07,48
"ORES, SLAG AND ASH.",SUDAN,0.07,48
"ORES, SLAG AND ASH.",ANGOLA,0.07,48
"ORES, SLAG AND ASH.",CAMEROON,0.07,48
"ORES, SLAG AND ASH.",DJIBOUTI,0.07,48
"ORES, SLAG AND ASH.",CYPRUS,0.06,49
"ORES, SLAG AND ASH.",REUNION,0.06,49
"ORES, SLAG AND ASH.",MALDIVES,0.06,49
"ORES, SLAG AND ASH.",ALGERIA,0.06,49
"ORES, SLAG AND ASH.",PAKISTAN IR,0.05,50
"ORES, SLAG AND ASH.",ISRAEL,0.03,51
"ORES, SLAG AND ASH.",LATVIA,0.03,51
"ORES, SLAG AND ASH.",ETHIOPIA,0.03,51
"ORES, SLAG AND ASH.",GABON,0.03,51
"ORES, SLAG AND ASH.",BULGARIA,0.02,52
"ORES, SLAG AND ASH.",MALTA,0.02,52
"ORES, SLAG AND ASH.",SEYCHELLES,0.01,53
"ORES, SLAG AND ASH.",MALAWI,0.01,53
"ORES, SLAG AND ASH.",BRAZIL,0.01,53
"ORES, SLAG AND ASH.",LITHUANIA,0.01,53
"ORES, SLAG AND ASH.",PAPUA N GNA,0.01,53
"ORES, SLAG AND ASH.",SINGAPORE,0.01,53
"ORES, SLAG AND ASH.",HONG KONG,0.0,54
"ORES, SLAG AND ASH.",JORDAN,0.0,54
"ORES, SLAG AND ASH.",MYANMAR,0.0,54
"ORES, SLAG AND ASH.",FIJI IS,0.0,54
"ORES, SLAG AND ASH.",TRINIDAD,0.0,54
"ORES, SLAG AND ASH.",SENEGAL,0.0,54
"ORES, SLAG AND ASH.",COLOMBIA,0.0,54
"ORES, SLAG AND ASH.",MOROCCO,0.0,54
"ORES, SLAG AND ASH.",YEMEN REPUBLC,0.0,54
"ORES, SLAG AND ASH.",CANADA,0.0,54
"ORES, SLAG AND ASH.",RUSSIA,0.0,54
"ORES, SLAG AND ASH.",CAMBODIA,,55
"ORES, SLAG AND ASH.",AUSTRIA,,55
"ORES, SLAG AND ASH.",FINLAND,,55
"ORES, SLAG AND ASH.",NORWAY,,55
"ORES, SLAG AND ASH.",CONGO P REP,,55
"ORES, SLAG AND ASH.",ZAMBIA,,55
"ORES, SLAG AND ASH.",COTE D' IVOIRE,,55
"ORES, SLAG AND ASH.",SURINAME,,55
"ORES, SLAG AND ASH.",UKRAINE,,55
"ORES, SLAG AND ASH.",TUNISIA,,55
"ORES, SLAG AND ASH.",MOZAMBIQUE,,55
"ORES, SLAG AND ASH.",GUINEA,,55
"ORES, SLAG AND ASH.",CROATIA,,55
"ORES, SLAG AND ASH.",ERITREA,,55
"ORES, SLAG AND ASH.",MAURITIUS,,55
