Commodity,country,Total_Value,rank
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,U S A,19.05,1
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,GERMANY,5.67,2
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,NETHERLAND,4.22,3
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,FRANCE,3.69,4
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,PAKISTAN IR,3.38,5
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,POLAND,1.99,6
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,THAILAND,1.5,7
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,MALAYSIA,1.48,8
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,U ARAB EMTS,1.36,9
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,CHINA P RP,1.26,10
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,KOREA RP,1.24,11
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,JAPAN,1.23,12
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,AUSTRIA,1.22,13
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,ITALY,1.21,14
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,VIETNAM SOC REP,1.13,15
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,BANGLADESH PR,0.96,16
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,FINLAND,0.87,17
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,SWEDEN,0.75,18
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,IRAN,0.75,18
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,U K,0.69,19
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,SINGAPORE,0.45,20
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,MEXICO,0.45,20
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,BRAZIL,0.41,21
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,SWITZERLAND,0.3,22
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,EGYPT A RP,0.26,23
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,HONG KONG,0.24,24
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,SOUTH AFRICA,0.21,25
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,CANADA,0.21,25
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,SAUDI ARAB,0.2,26
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,BHUTAN,0.19,27
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,CROATIA,0.18,28
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,CZECH REPUBLIC,0.17,29
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,MYANMAR,0.17,29
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,SRI LANKA DSR,0.16,30
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,NEPAL,0.15,31
