Commodity,country,Total_Value,rank
PLASTIC AND ARTICLES THEREOF.,CHINA P RP,1104.52,1
PLASTIC AND ARTICLES THEREOF.,U S A,831.33,2
PLASTIC AND ARTICLES THEREOF.,U ARAB EMTS,397.81,3
PLASTIC AND ARTICLES THEREOF.,ITALY,363.59,4
PLASTIC AND ARTICLES THEREOF.,BANGLADESH PR,288.45,5
PLASTIC AND ARTICLES THEREOF.,TURKEY,263.72,6
PLASTIC AND ARTICLES THEREOF.,GERMANY,244.32,7
PLASTIC AND ARTICLES THEREOF.,NEPAL,226.47,8
PLASTIC AND ARTICLES THEREOF.,U K,208.93,9
PLASTIC AND ARTICLES THEREOF.,VIETNAM SOC REP,182.69,10
PLASTIC AND ARTICLES THEREOF.,INDONESIA,159.27,11
PLASTIC AND ARTICLES THEREOF.,EGYPT A RP,143.2,12
PLASTIC AND ARTICLES THEREOF.,JAPAN,140.46,13
PLASTIC AND ARTICLES THEREOF.,NIGERIA,137.12,14
PLASTIC AND ARTICLES THEREOF.,PAKISTAN IR,131.19,15
PLASTIC AND ARTICLES THEREOF.,SOUTH AFRICA,117.41,16
PLASTIC AND ARTICLES THEREOF.,SPAIN,116.45,17
PLASTIC AND ARTICLES THEREOF.,MEXICO,116.18,18
PLASTIC AND ARTICLES THEREOF.,ISRAEL,114.95,19
PLASTIC AND ARTICLES THEREOF.,KENYA,113.18,20
PLASTIC AND ARTICLES THEREOF.,BELGIUM,106.23,21
PLASTIC AND ARTICLES THEREOF.,SRI LANKA DSR,105.73,22
PLASTIC AND ARTICLES THEREOF.,CANADA,95.61,23
PLASTIC AND ARTICLES THEREOF.,SAUDI ARAB,90.0,24
PLASTIC AND ARTICLES THEREOF.,NETHERLAND,77.63,25
PLASTIC AND ARTICLES THEREOF.,TANZANIA REP,73.61,26
PLASTIC AND ARTICLES THEREOF.,QATAR,64.44,27
PLASTIC AND ARTICLES THEREOF.,PERU,64.33,28
PLASTIC AND ARTICLES THEREOF.,AUSTRALIA,63.89,29
PLASTIC AND ARTICLES THEREOF.,PORTUGAL,61.57,30
PLASTIC AND ARTICLES THEREOF.,THAILAND,61.05,31
PLASTIC AND ARTICLES THEREOF.,BRAZIL,61.03,32
PLASTIC AND ARTICLES THEREOF.,POLAND,59.87,33
PLASTIC AND ARTICLES THEREOF.,MALAYSIA,59.74,34
PLASTIC AND ARTICLES THEREOF.,FRANCE,55.9,35
PLASTIC AND ARTICLES THEREOF.,ALGERIA,52.58,36
