Commodity,country,Total_Value,rank
"SHIPS, BOATS AND FLOATING STRUCTURES.",SINGAPORE,1989.65,1
"SHIPS, BOATS AND FLOATING STRUCTURES.",U ARAB EMTS,1357.7,2
"SHIPS, BOATS AND FLOATING STRUCTURES.",INDONESIA,734.61,3
"SHIPS, BOATS AND FLOATING STRUCTURES.",SRI LANKA DSR,674.06,4
"SHIPS, BOATS AND FLOATING STRUCTURES.",OMAN,276.46,5
"SHIPS, BOATS AND FLOATING STRUCTURES.",SOUTH AFRICA,198.48,6
"SHIPS, BOATS AND FLOATING STRUCTURES.",BELGIUM,150.05,7
"SHIPS, BOATS AND FLOATING STRUCTURES.",SAUDI ARAB,104.63,8
"SHIPS, BOATS AND FLOATING STRUCTURES.",BAHARAIN IS,63.63,9
"SHIPS, BOATS AND FLOATING STRUCTURES.",BANGLADESH PR,42.5,10
"SHIPS, BOATS AND FLOATING STRUCTURES.",QATAR,29.39,11
"SHIPS, BOATS AND FLOATING STRUCTURES.",NIGERIA,24.87,12
"SHIPS, BOATS AND FLOATING STRUCTURES.",NAMIBIA,24.01,13
"SHIPS, BOATS AND FLOATING STRUCTURES.",BR VIRGN IS,10.29,14
"SHIPS, BOATS AND FLOATING STRUCTURES.",MALAYSIA,8.52,15
"SHIPS, BOATS AND FLOATING STRUCTURES.",MAURITIUS,4.28,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",FRANCE,2.97,17
"SHIPS, BOATS AND FLOATING STRUCTURES.",KENYA,1.0,18
"SHIPS, BOATS AND FLOATING STRUCTURES.",PAPUA N GNA,0.46,19
"SHIPS, BOATS AND FLOATING STRUCTURES.",SENEGAL,0.41,20
"SHIPS, BOATS AND FLOATING STRUCTURES.",MALDIVES,0.4,21
"SHIPS, BOATS AND FLOATING STRUCTURES.",U S A,0.21,22
"SHIPS, BOATS AND FLOATING STRUCTURES.",BRAZIL,0.2,23
"SHIPS, BOATS AND FLOATING STRUCTURES.",TANZANIA REP,0.19,24
"SHIPS, BOATS AND FLOATING STRUCTURES.",HONG KONG,0.17,25
"SHIPS, BOATS AND FLOATING STRUCTURES.",GERMANY,0.07,26
"SHIPS, BOATS AND FLOATING STRUCTURES.",DENMARK,0.06,27
"SHIPS, BOATS AND FLOATING STRUCTURES.",GUYANA,0.06,27
"SHIPS, BOATS AND FLOATING STRUCTURES.",BHUTAN,0.05,28
"SHIPS, BOATS AND FLOATING STRUCTURES.",NETHERLAND,0.03,29
"SHIPS, BOATS AND FLOATING STRUCTURES.",SPAIN,0.03,29
"SHIPS, BOATS AND FLOATING STRUCTURES.",NEPAL,0.03,29
"SHIPS, BOATS AND FLOATING STRUCTURES.",UNSPECIFIED,0.03,29
"SHIPS, BOATS AND FLOATING STRUCTURES.",THAILAND,0.02,30
"SHIPS, BOATS AND FLOATING STRUCTURES.",POLAND,0.02,30
"SHIPS, BOATS AND FLOATING STRUCTURES.",ANGOLA,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",AUSTRALIA,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",SOMALIA,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",JAPAN,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",CAPE VERDE IS,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",GHANA,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",U K,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",ITALY,0.01,31
"SHIPS, BOATS AND FLOATING STRUCTURES.",ZAMBIA,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",NORWAY,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",KUWAIT,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",MEXICO,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",SEYCHELLES,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",CHINA P RP,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",CAMBODIA,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",TURKEY,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",GABON,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",BOTSWANA,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",CANADA,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",PHILIPPINES,0.0,32
"SHIPS, BOATS AND FLOATING STRUCTURES.",CAMEROON,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",LIBERIA,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",TRINIDAD,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",PORTUGAL,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",TOGO,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",URUGUAY,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",MOZAMBIQUE,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",BENIN,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",ISRAEL,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",RUSSIA,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",IRAN,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",EGYPT A RP,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",GREECE,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",TAIWAN,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",NEW ZEALAND,,33
"SHIPS, BOATS AND FLOATING STRUCTURES.",PANAMA REPUBLIC,,33
