Commodity,country,Total_Value,rank
SILK,U S A,21.22,1
SILK,CHINA P RP,14.32,2
SILK,U K,8.11,3
SILK,ITALY,5.33,4
SILK,U ARAB EMTS,4.72,5
SILK,GERMANY,3.41,6
SILK,VIETNAM SOC REP,3.03,7
SILK,SINGAPORE,2.55,8
SILK,FRANCE,2.23,9
SILK,CANADA,2.11,10
SILK,SRI LANKA DSR,1.6,11
SILK,MALAYSIA,1.38,12
SILK,THAILAND,1.29,13
SILK,BELGIUM,1.23,14
SILK,JAPAN,1.15,15
SILK,NEPAL,0.99,16
SILK,NETHERLAND,0.94,17
SILK,QATAR,0.7,18
SILK,OMAN,0.62,19
SILK,HONG KONG,0.59,20
SILK,AUSTRALIA,0.57,21
SILK,SPAIN,0.49,22
SILK,BANGLADESH PR,0.48,23
SILK,SAUDI ARAB,0.48,23
SILK,PAKISTAN IR,0.45,24
SILK,INDONESIA,0.4,25
SILK,TURKEY,0.39,26
SILK,KOREA RP,0.32,27
SILK,NORWAY,0.27,28
SILK,AUSTRIA,0.27,28
SILK,KUWAIT,0.26,29
SILK,AFGHANISTAN TIS,0.23,30
SILK,MAURITIUS,0.2,31
SILK,LEBANON,0.17,32
SILK,BRAZIL,0.14,33
SILK,SWITZERLAND,0.14,33
SILK,GREECE,0.13,34
SILK,NEW ZEALAND,0.12,35
SILK,MOROCCO,0.11,36
SILK,CZECH REPUBLIC,0.1,37
SILK,SOUTH AFRICA,0.1,37
SILK,CHILE,0.08,38
SILK,ISRAEL,0.08,38
SILK,SLOVENIA,0.08,38
SILK,FIJI IS,0.08,38
SILK,POLAND,0.07,39
SILK,FINLAND,0.06,40
SILK,PORTUGAL,0.06,40
SILK,SERBIA,0.05,41
SILK,MEXICO,0.04,42
SILK,COLOMBIA,0.04,42
SILK,LITHUANIA,0.03,43
SILK,BHUTAN,0.03,43
SILK,CAMBODIA,0.03,43
SILK,LATVIA,0.03,43
SILK,SENEGAL,0.03,43
SILK,NIGERIA,0.03,43
SILK,MACEDONIA,0.03,43
SILK,TAIWAN,0.02,44
SILK,ETHIOPIA,0.02,44
SILK,TANZANIA REP,0.02,44
SILK,SWEDEN,0.02,44
SILK,PHILIPPINES,0.02,44
SILK,HUNGARY,0.02,44
SILK,BAHARAIN IS,0.02,44
SILK,ROMANIA,0.02,44
SILK,RUSSIA,0.02,44
SILK,CROATIA,0.02,44
SILK,MADAGASCAR,0.01,45
SILK,DENMARK,0.01,45
SILK,SUDAN,0.01,45
SILK,URUGUAY,0.01,45
SILK,SLOVAK REP,0.01,45
SILK,SEYCHELLES,0.01,45
SILK,GHANA,0.0,46
SILK,MONGOLIA,0.0,46
SILK,ARGENTINA,0.0,46
SILK,GEORGIA,0.0,46
SILK,ZAMBIA,0.0,46
SILK,TRINIDAD,0.0,46
SILK,IRAQ,0.0,46
SILK,KYRGHYZSTAN,0.0,46
SILK,MALDIVES,0.0,46
SILK,CYPRUS,0.0,46
SILK,PUERTO RICO,0.0,46
SILK,BULGARIA,0.0,46
SILK,MYANMAR,0.0,46
SILK,TUNISIA,0.0,46
SILK,EGYPT A RP,0.0,46
SILK,REUNION,0.0,46
SILK,CONGO P REP,0.0,46
SILK,GUYANA,0.0,46
SILK,PARAGUAY,0.0,46
SILK,MALTA,0.0,46
SILK,JORDAN,0.0,46
SILK,UKRAINE,0.0,46
SILK,ICELAND,0.0,46
SILK,AZERBAIJAN,0.0,46
SILK,C AFRI REP,,47
SILK,KENYA,,47
SILK,MONTENEGRO,,47
SILK,PANAMA REPUBLIC,,47
SILK,MALAWI,,47
SILK,LUXEMBOURG,,47
SILK,COTE D' IVOIRE,,47
SILK,MONACO,,47
SILK,IRAN,,47
SILK,KAZAKHSTAN,,47
SILK,GAMBIA,,47
SILK,MOZAMBIQUE,,47
SILK,NAMIBIA,,47
SILK,DOMINIC REP,,47
SILK,KOREA DP RP,,47
SILK,GUATEMALA,,47
SILK,SWAZILAND,,47
SILK,PERU,,47
SILK,US MINOR OUTLYING ISLANDS,,47
SILK,MACAO,,47
SILK,UGANDA,,47
SILK,IRELAND,,47
SILK,BRUNEI,,47
