Commodity,country,Total_Value,rank
SUGARS AND SUGAR CONFECTIONERY.,SUDAN,287.61,1
SUGARS AND SUGAR CONFECTIONERY.,SOMALIA,160.57,2
SUGARS AND SUGAR CONFECTIONERY.,SRI LANKA DSR,136.49,3
SUGARS AND SUGAR CONFECTIONERY.,MYANMAR,126.12,4
SUGARS AND SUGAR CONFECTIONERY.,DJIBOUTI,98.72,5
SUGARS AND SUGAR CONFECTIONERY.,BANGLADESH PR,76.6,6
SUGARS AND SUGAR CONFECTIONERY.,U ARAB EMTS,62.22,7
SUGARS AND SUGAR CONFECTIONERY.,JORDAN,46.59,8
SUGARS AND SUGAR CONFECTIONERY.,SAUDI ARAB,44.21,9
SUGARS AND SUGAR CONFECTIONERY.,NETHERLAND,43.55,10
SUGARS AND SUGAR CONFECTIONERY.,IRAN,40.56,11
SUGARS AND SUGAR CONFECTIONERY.,MALAYSIA,36.96,12
SUGARS AND SUGAR CONFECTIONERY.,KENYA,30.06,13
SUGARS AND SUGAR CONFECTIONERY.,COTE D' IVOIRE,26.39,14
SUGARS AND SUGAR CONFECTIONERY.,NEPAL,23.48,15
SUGARS AND SUGAR CONFECTIONERY.,TANZANIA REP,22.48,16
SUGARS AND SUGAR CONFECTIONERY.,U S A,21.79,17
SUGARS AND SUGAR CONFECTIONERY.,BENIN,19.02,18
SUGARS AND SUGAR CONFECTIONERY.,QATAR,18.27,19
SUGARS AND SUGAR CONFECTIONERY.,CHINA P RP,16.52,20
SUGARS AND SUGAR CONFECTIONERY.,YEMEN REPUBLC,16.3,21
SUGARS AND SUGAR CONFECTIONERY.,AFGHANISTAN TIS,15.92,22
SUGARS AND SUGAR CONFECTIONERY.,TOGO,15.44,23
SUGARS AND SUGAR CONFECTIONERY.,PAKISTAN IR,14.44,24
SUGARS AND SUGAR CONFECTIONERY.,OMAN,11.38,25
SUGARS AND SUGAR CONFECTIONERY.,INDONESIA,11.14,26
SUGARS AND SUGAR CONFECTIONERY.,ITALY,10.93,27
SUGARS AND SUGAR CONFECTIONERY.,U K,10.6,28
SUGARS AND SUGAR CONFECTIONERY.,NIGERIA,10.29,29
SUGARS AND SUGAR CONFECTIONERY.,PHILIPPINES,8.66,30
SUGARS AND SUGAR CONFECTIONERY.,SOUTH AFRICA,8.59,31
SUGARS AND SUGAR CONFECTIONERY.,ANGOLA,8.04,32
SUGARS AND SUGAR CONFECTIONERY.,GHANA,7.96,33
SUGARS AND SUGAR CONFECTIONERY.,NORWAY,6.92,34
SUGARS AND SUGAR CONFECTIONERY.,KUWAIT,6.91,35
SUGARS AND SUGAR CONFECTIONERY.,VIETNAM SOC REP,6.68,36
SUGARS AND SUGAR CONFECTIONERY.,BAHARAIN IS,6.44,37
SUGARS AND SUGAR CONFECTIONERY.,TURKEY,5.64,38
SUGARS AND SUGAR CONFECTIONERY.,NIGER,5.58,39
SUGARS AND SUGAR CONFECTIONERY.,UGANDA,5.54,40
SUGARS AND SUGAR CONFECTIONERY.,GAMBIA,5.41,41
SUGARS AND SUGAR CONFECTIONERY.,KOREA RP,5.28,42
SUGARS AND SUGAR CONFECTIONERY.,MADAGASCAR,5.24,43
SUGARS AND SUGAR CONFECTIONERY.,CANADA,4.92,44
SUGARS AND SUGAR CONFECTIONERY.,BELGIUM,4.81,45
SUGARS AND SUGAR CONFECTIONERY.,BHUTAN,4.62,46
SUGARS AND SUGAR CONFECTIONERY.,MOZAMBIQUE,4.36,47
SUGARS AND SUGAR CONFECTIONERY.,TAIWAN,4.34,48
SUGARS AND SUGAR CONFECTIONERY.,CZECH REPUBLIC,4.34,48
SUGARS AND SUGAR CONFECTIONERY.,ETHIOPIA,3.62,49
SUGARS AND SUGAR CONFECTIONERY.,GERMANY,3.4,50
SUGARS AND SUGAR CONFECTIONERY.,SPAIN,3.11,51
SUGARS AND SUGAR CONFECTIONERY.,ISRAEL,3.1,52
SUGARS AND SUGAR CONFECTIONERY.,CONGO D. REP.,2.85,53
SUGARS AND SUGAR CONFECTIONERY.,AUSTRALIA,2.75,54
SUGARS AND SUGAR CONFECTIONERY.,CAMEROON,2.3,55
SUGARS AND SUGAR CONFECTIONERY.,THAILAND,2.27,56
SUGARS AND SUGAR CONFECTIONERY.,SENEGAL,2.1,57
SUGARS AND SUGAR CONFECTIONERY.,SINGAPORE,1.95,58
SUGARS AND SUGAR CONFECTIONERY.,GUINEA,1.87,59
SUGARS AND SUGAR CONFECTIONERY.,TURKMENISTAN,1.84,60
SUGARS AND SUGAR CONFECTIONERY.,RWANDA,1.64,61
SUGARS AND SUGAR CONFECTIONERY.,MAURITANIA,1.53,62
SUGARS AND SUGAR CONFECTIONERY.,HAITI,1.28,63
SUGARS AND SUGAR CONFECTIONERY.,BURKINA FASO,1.2,64
SUGARS AND SUGAR CONFECTIONERY.,CHAD,0.95,65
SUGARS AND SUGAR CONFECTIONERY.,MALI,0.89,66
SUGARS AND SUGAR CONFECTIONERY.,DOMINIC REP,0.84,67
SUGARS AND SUGAR CONFECTIONERY.,MALAWI,0.84,67
SUGARS AND SUGAR CONFECTIONERY.,SYRIA,0.77,68
SUGARS AND SUGAR CONFECTIONERY.,MAURITIUS,0.71,69
SUGARS AND SUGAR CONFECTIONERY.,MONTENEGRO,0.65,70
SUGARS AND SUGAR CONFECTIONERY.,UZBEKISTAN,0.64,71
SUGARS AND SUGAR CONFECTIONERY.,NEW ZEALAND,0.63,72
SUGARS AND SUGAR CONFECTIONERY.,CONGO P REP,0.53,73
