Commodity,country,Total_Value,rank
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,BELGIUM,135.49,1
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,U ARAB EMTS,129.93,2
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,AFGHANISTAN TIS,91.22,3
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,PHILIPPINES,34.74,4
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,U S A,30.6,5
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,EGYPT A RP,29.18,6
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,KOREA RP,28.68,7
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,RUSSIA,26.65,8
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,NEPAL,25.92,9
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,NETHERLAND,23.95,10
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,THAILAND,22.89,11
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,GERMANY,21.42,12
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,SRI LANKA DSR,21.06,13
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,TURKEY,17.54,14
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,NIGERIA,17.14,15
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,SAUDI ARAB,16.77,16
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,SINGAPORE,16.45,17
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,YEMEN REPUBLC,15.63,18
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,VIETNAM SOC REP,14.03,19
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,MYANMAR,13.0,20
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,PANAMA REPUBLIC,12.68,21
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,POLAND,12.28,22
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,DOMINIC REP,11.81,23
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,INDONESIA,11.72,24
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,KUWAIT,11.1,25
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,MALAYSIA,11.03,26
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,GEORGIA,10.13,27
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,PARAGUAY,9.62,28
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,ARMENIA,9.47,29
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,FRANCE,9.16,30
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,SOUTH AFRICA,7.33,31
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,LITHUANIA,7.11,32
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,LIBYA,6.69,33
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,UKRAINE,6.67,34
