Commodity,country,Total_Value,rank
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,U S A,158.59,1
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,CHINA P RP,60.29,2
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,HONG KONG,35.49,3
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,NEPAL,27.44,4
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,BHUTAN,23.07,5
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,U ARAB EMTS,17.78,6
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,U K,16.68,7
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,GERMANY,16.43,8
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,NETHERLAND,14.87,9
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,AUSTRALIA,10.07,10
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,CANADA,8.62,11
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SAUDI ARAB,7.32,12
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,FRANCE,7.12,13
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SRI LANKA DSR,6.39,14
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SPAIN,5.98,15
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,ITALY,3.89,16
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,BANGLADESH PR,3.62,17
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SWEDEN,3.51,18
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,BELGIUM,3.06,19
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,DENMARK,2.82,20
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,KOREA RP,2.6,21
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,KUWAIT,2.57,22
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,MALAYSIA,2.54,23
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,THAILAND,2.45,24
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,BAHARAIN IS,2.42,25
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,MEXICO,2.29,26
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,QATAR,2.19,27
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,TANZANIA REP,2.14,28
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,KENYA,2.07,29
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,JAPAN,2.0,30
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,TURKEY,1.87,31
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SOUTH AFRICA,1.77,32
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,OMAN,1.46,33
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SEYCHELLES,1.45,34
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,NORWAY,1.43,35
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,BRAZIL,1.42,36
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,EGYPT A RP,1.41,37
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,CHILE,1.36,38
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,ISRAEL,1.35,39
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,MALDIVES,1.25,40
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,POLAND,1.23,41
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,IRAN,1.15,42
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,NEW ZEALAND,1.12,43
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,GREECE,0.93,44
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,RUSSIA,0.92,45
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SWITZERLAND,0.86,46
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,MAURITIUS,0.74,47
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,JORDAN,0.74,47
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,SINGAPORE,0.64,48
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,TAIWAN,0.63,49
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,IRAQ,0.59,50
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,PORTUGAL,0.51,51
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,VIETNAM SOC REP,0.49,52
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,FINLAND,0.45,53
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,INDONESIA,0.42,54
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,LEBANON,0.4,55
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,AUSTRIA,0.39,56
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,IRELAND,0.36,57
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,PHILIPPINES,0.31,58
WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,ARGENTINA,0.29,59
