Commodity,country,Total_Value,rank
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,U S A,44.78,1
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,U K,24.16,2
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,U ARAB EMTS,5.12,3
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SINGAPORE,4.7,4
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ITALY,4.68,5
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,HONG KONG,2.94,6
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GERMANY,2.55,7
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CHINA P RP,2.43,8
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SWITZERLAND,1.69,9
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CANADA,1.1,10
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,AUSTRALIA,1.04,11
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,FRANCE,0.92,12
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MALAYSIA,0.71,13
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BELGIUM,0.69,14
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,QATAR,0.67,15
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,JAPAN,0.62,16
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PORTUGAL,0.57,17
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NETHERLAND,0.38,18
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SPAIN,0.3,19
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,KOREA RP,0.29,20
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MAURITIUS,0.21,21
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ISRAEL,0.19,22
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NEW ZEALAND,0.14,23
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SOUTH AFRICA,0.12,24
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NEPAL,0.12,24
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MEXICO,0.11,25
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,KUWAIT,0.11,25
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MYANMAR,0.1,26
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SRI LANKA DSR,0.1,26
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SAUDI ARAB,0.08,27
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,TAIWAN,0.08,27
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MONACO,0.07,28
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,THAILAND,0.06,29
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,INDONESIA,0.06,29
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,AUSTRIA,0.06,29
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,OMAN,0.06,29
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,KENYA,0.06,29
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BANGLADESH PR,0.05,30
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PHILIPPINES,0.05,30
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,TRINIDAD,0.04,31
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,DENMARK,0.04,31
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BHUTAN,0.04,31
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CHILE,0.04,31
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,TURKEY,0.04,31
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,RUSSIA,0.03,32
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BRAZIL,0.03,32
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,POLAND,0.03,32
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MOROCCO,0.03,32
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,JORDAN,0.03,32
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,VIETNAM SOC REP,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GREECE,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PUERTO RICO,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BAHARAIN IS,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ARGENTINA,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,FIJI IS,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,REUNION,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GUYANA,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SWEDEN,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,COLOMBIA,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,TANZANIA REP,0.02,33
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,URUGUAY,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GUADELOUPE,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,AZERBAIJAN,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,FINLAND,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ZAMBIA,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BELIZE,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ICELAND,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,LEBANON,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,AFGHANISTAN TIS,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NORWAY,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ESTONIA,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SLOVAK REP,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PERU,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ANGOLA,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CYPRUS,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SENEGAL,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CROATIA,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NIGERIA,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CZECH REPUBLIC,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,EGYPT A RP,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,UKRAINE,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,UGANDA,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ECUADOR,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,IRELAND,0.01,34
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,COSTA RICA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,KAZAKHSTAN,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,LUXEMBOURG,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BOTSWANA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CONGO P REP,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,COTE D' IVOIRE,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PANAMA REPUBLIC,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GHANA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CAMBODIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,DOMINIC REP,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,IRAQ,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MALTA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NETHERLANDANTIL,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BOLIVIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,KYRGHYZSTAN,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MARTINIQUE,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,TUNISIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BERMUDA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PARAGUAY,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GUATEMALA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BULGARIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SEYCHELLES,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BELARUS,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PAKISTAN IR,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NEW CALEDONIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BAHAMAS,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ST LUCIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,LATVIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MONGOLIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,NIGER,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,LIBYA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,MALDIVES,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,PAPUA N GNA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CONGO D. REP.,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,CAYMAN IS,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GEORGIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,SERBIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,ROMANIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,LITHUANIA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,GRENADA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,HUNGARY,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,US MINOR OUTLYING ISLANDS,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,JAMAICA,0.0,35
WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,BARBADOS,0.0,35
