Commodity,country,Total_Value,rank
ZINC AND ARTICLES THEREOF.,KOREA RP,130.72,1
ZINC AND ARTICLES THEREOF.,TAIWAN,77.82,2
ZINC AND ARTICLES THEREOF.,CHINA P RP,55.3,3
ZINC AND ARTICLES THEREOF.,U ARAB EMTS,52.67,4
ZINC AND ARTICLES THEREOF.,NEPAL,50.41,5
ZINC AND ARTICLES THEREOF.,THAILAND,41.1,6
ZINC AND ARTICLES THEREOF.,INDONESIA,28.62,7
ZINC AND ARTICLES THEREOF.,MALAYSIA,19.8,8
ZINC AND ARTICLES THEREOF.,BANGLADESH PR,19.68,9
ZINC AND ARTICLES THEREOF.,SAUDI ARAB,18.78,10
ZINC AND ARTICLES THEREOF.,KENYA,17.27,11
ZINC AND ARTICLES THEREOF.,GREECE,16.83,12
ZINC AND ARTICLES THEREOF.,VIETNAM SOC REP,11.0,13
ZINC AND ARTICLES THEREOF.,JAPAN,7.69,14
ZINC AND ARTICLES THEREOF.,NIGERIA,7.46,15
ZINC AND ARTICLES THEREOF.,MONTENEGRO,6.14,16
ZINC AND ARTICLES THEREOF.,U S A,5.5,17
ZINC AND ARTICLES THEREOF.,NEW ZEALAND,5.37,18
ZINC AND ARTICLES THEREOF.,OMAN,3.73,19
ZINC AND ARTICLES THEREOF.,KUWAIT,2.79,20
ZINC AND ARTICLES THEREOF.,SINGAPORE,2.62,21
ZINC AND ARTICLES THEREOF.,SWEDEN,2.07,22
ZINC AND ARTICLES THEREOF.,MOZAMBIQUE,2.03,23
ZINC AND ARTICLES THEREOF.,ETHIOPIA,1.89,24
ZINC AND ARTICLES THEREOF.,ISRAEL,1.63,25
ZINC AND ARTICLES THEREOF.,TANZANIA REP,1.39,26
ZINC AND ARTICLES THEREOF.,MAURITIUS,1.33,27
ZINC AND ARTICLES THEREOF.,SRI LANKA DSR,1.2,28
ZINC AND ARTICLES THEREOF.,SPAIN,1.03,29
ZINC AND ARTICLES THEREOF.,DJIBOUTI,1.01,30
ZINC AND ARTICLES THEREOF.,TURKEY,0.81,31
ZINC AND ARTICLES THEREOF.,AUSTRALIA,0.77,32
ZINC AND ARTICLES THEREOF.,UGANDA,0.74,33
ZINC AND ARTICLES THEREOF.,MEXICO,0.73,34
ZINC AND ARTICLES THEREOF.,U K,0.63,35
ZINC AND ARTICLES THEREOF.,BRAZIL,0.51,36
ZINC AND ARTICLES THEREOF.,IRAN,0.45,37
ZINC AND ARTICLES THEREOF.,GERMANY,0.36,38
ZINC AND ARTICLES THEREOF.,BAHARAIN IS,0.35,39
ZINC AND ARTICLES THEREOF.,QATAR,0.34,40
ZINC AND ARTICLES THEREOF.,ITALY,0.31,41
ZINC AND ARTICLES THEREOF.,RUSSIA,0.29,42
ZINC AND ARTICLES THEREOF.,PAKISTAN IR,0.26,43
ZINC AND ARTICLES THEREOF.,DENMARK,0.23,44
ZINC AND ARTICLES THEREOF.,LITHUANIA,0.17,45
ZINC AND ARTICLES THEREOF.,TUNISIA,0.15,46
ZINC AND ARTICLES THEREOF.,UZBEKISTAN,0.15,46
ZINC AND ARTICLES THEREOF.,NETHERLAND,0.12,47
ZINC AND ARTICLES THEREOF.,SOUTH AFRICA,0.11,48
ZINC AND ARTICLES THEREOF.,FRANCE,0.1,49
ZINC AND ARTICLES THEREOF.,EGYPT A RP,0.1,49
ZINC AND ARTICLES THEREOF.,PORTUGAL,0.1,49
ZINC AND ARTICLES THEREOF.,COLOMBIA,0.08,50
ZINC AND ARTICLES THEREOF.,ESTONIA,0.05,51
ZINC AND ARTICLES THEREOF.,DOMINIC REP,0.04,52
ZINC AND ARTICLES THEREOF.,BELGIUM,0.04,52
ZINC AND ARTICLES THEREOF.,CANADA,0.02,53
ZINC AND ARTICLES THEREOF.,TRINIDAD,0.02,53
ZINC AND ARTICLES THEREOF.,MYANMAR,0.02,53
ZINC AND ARTICLES THEREOF.,BULGARIA,0.02,53
ZINC AND ARTICLES THEREOF.,SUDAN,0.01,54
ZINC AND ARTICLES THEREOF.,BHUTAN,0.01,54
ZINC AND ARTICLES THEREOF.,CHILE,0.01,54
ZINC AND ARTICLES THEREOF.,LEBANON,0.01,54
ZINC AND ARTICLES THEREOF.,MALDIVES,0.01,54
ZINC AND ARTICLES THEREOF.,SWITZERLAND,0.01,54
ZINC AND ARTICLES THEREOF.,PERU,0.01,54
ZINC AND ARTICLES THEREOF.,ECUADOR,0.0,55
ZINC AND ARTICLES THEREOF.,AUSTRIA,0.0,55
ZINC AND ARTICLES THEREOF.,NORWAY,0.0,55
ZINC AND ARTICLES THEREOF.,AZERBAIJAN,0.0,55
ZINC AND ARTICLES THEREOF.,RWANDA,0.0,55
ZINC AND ARTICLES THEREOF.,GHANA,0.0,55
ZINC AND ARTICLES THEREOF.,IRELAND,0.0,55
ZINC AND ARTICLES THEREOF.,JORDAN,0.0,55
ZINC AND ARTICLES THEREOF.,MOROCCO,0.0,55
ZINC AND ARTICLES THEREOF.,PHILIPPINES,0.0,55
ZINC AND ARTICLES THEREOF.,SEYCHELLES,0.0,55
ZINC AND ARTICLES THEREOF.,ANGOLA,0.0,55
ZINC AND ARTICLES THEREOF.,CROATIA,0.0,55
ZINC AND ARTICLES THEREOF.,PARAGUAY,0.0,55
ZINC AND ARTICLES THEREOF.,BOLIVIA,0.0,55
ZINC AND ARTICLES THEREOF.,FIJI IS,0.0,55
ZINC AND ARTICLES THEREOF.,PANAMA REPUBLIC,0.0,55
